"","A","B","C","D","E","F","G","H","J","K","L","M"
"1","2","1","5","4","2","1","5","4","3","3","2","5"
"2","1","3","4","1","2","5","5","2","1","4","3","7"
"3","2","1","3","1","2","2","4","3","4","5","5","8"
"4","2","4","3","2","5","4","3","2","1","1","10","5"
"5","1","2","2","2","2","2","2","2","2","2","2","1"
"6","2","4","4","5","2","3","1","1","3","2","5","6"
"7","2","4","1","4","5","5","2","1","2","3","3","8"
"8","2","4","1","3","1","3","5","2","4","5","2","3"
"9","2","3","5","2","5","2","4","1","3","4","1","3"
"10","1","3","1","4","3","1","4","2","5","2","5","4"
"11","1","1","2","3","3","4","5","1","2","4","5","2"
"12","2","5","2","5","1","1","3","2","3","4","4","8"
"13","2","2","4","1","4","1","3","5","2","3","10","3"
"14","1","2","3","5","1","4","4","1","5","3","2","7"
"15","1","5","4","3","1","5","4","3","2","2","6","5"
"16","1","4","1","4","5","5","2","1","2","3","8","8"
"17","1","5","1","3","4","2","2","4","3","1","10","7"
"18","1","5","3","2","4","1","5","1","4","2","8","9"
"19","1","1","4","3","5","2","1","2","5","3","9","9"
"20","2","3","2","1","4","3","2","1","5","5","4","5"
"21","2","5","3","1","5","3","1","4","2","4","2","4"
"22","1","3","2","1","4","3","2","1","5","5","9","5"
"23","1","1","3","1","2","2","4","3","4","5","10","8"
"24","1","3","5","2","5","2","4","1","3","4","6","3"
"25","2","3","5","3","4","4","1","5","1","2","2","8"
"26","1","1","5","4","2","1","5","4","3","3","7","5"
"27","2","1","1","1","1","1","1","1","1","1","6","1"
"28","2","1","5","5","4","3","4","2","2","1","3","10"
"29","1","3","3","4","1","2","5","5","2","1","9","6"
"30","2","4","2","1","3","5","4","5","3","1","2","9"
"31","1","1","1","2","4","5","3","3","5","4","2","6"
"32","2","1","1","2","4","5","3","3","5","4","7","6"
"33","1","2","1","5","3","2","1","5","4","4","8","5"
"34","2","5","5","1","3","4","2","2","4","3","6","6"
"35","1","1","1","1","1","1","1","1","1","1","1","1"
"36","1","5","3","1","5","3","1","4","2","4","7","4"
"37","2","4","4","4","4","4","4","4","4","4","9","1"
"38","2","1","2","4","5","3","3","5","4","2","6","7"
"39","1","2","4","2","3","3","5","4","5","1","6","8"
"40","1","1","5","5","4","3","4","2","2","1","8","10"
"41","2","1","4","2","1","4","2","5","3","5","3","4"
"42","1","4","1","3","1","3","5","2","4","5","7","3"
"43","2","3","3","4","1","2","5","5","2","1","4","6"
"44","2","4","5","1","1","2","3","4","5","2","8","2"
"45","1","5","2","5","1","1","3","2","3","4","9","8"
"46","2","5","4","4","3","2","3","1","1","5","7","10"
"47","1","1","4","2","1","4","2","5","3","5","8","4"
"48","1","2","2","3","5","1","4","4","1","5","3","6"
"49","2","3","4","1","2","5","5","2","1","4","8","7"
"50","2","2","1","5","3","2","1","5","4","4","3","5"
"51","2","5","2","4","2","4","1","3","5","1","8","3"
"52","1","5","5","1","3","4","2","2","4","3","1","6"
"53","1","2","4","1","4","1","3","5","2","3","5","3"
"54","1","4","3","2","5","4","3","2","1","1","5","5"
"55","2","2","1","1","5","4","5","3","3","2","4","10"
"56","1","5","5","5","5","5","5","5","5","5","5","1"
"57","1","2","5","3","2","5","3","1","4","1","4","4"
"58","1","4","5","2","3","1","1","3","2","5","4","7"
"59","2","2","5","3","2","5","3","1","4","1","9","4"
"60","1","4","4","4","4","4","4","4","4","4","4","1"
"61","2","5","5","5","5","5","5","5","5","5","10","1"
"62","1","4","3","3","2","1","2","5","5","4","1","10"
"63","2","5","1","3","4","2","2","4","3","1","5","7"
"64","2","5","1","2","2","3","4","5","1","3","9","2"
"65","2","1","4","3","5","2","1","2","5","3","4","9"
"66","2","2","3","5","1","4","4","1","5","3","7","7"
"67","1","2","1","1","5","4","5","3","3","2","9","10"
"68","1","2","3","4","4","5","1","2","3","5","6","2"
"69","2","5","4","3","1","5","4","3","2","2","1","5"
"70","2","3","1","4","3","1","4","2","5","2","10","4"
"71","1","1","3","5","3","5","2","4","1","2","4","3"
"72","2","2","2","3","5","1","4","4","1","5","8","6"
"73","2","3","2","2","1","5","1","4","4","3","5","10"
"74","1","4","4","5","2","3","1","1","3","2","10","6"
"75","1","3","5","3","4","4","1","5","1","2","7","8"
"76","2","4","2","5","4","2","5","3","1","3","1","4"
"77","1","3","2","2","1","5","1","4","4","3","10","10"
"78","1","3","3","3","3","3","3","3","3","3","3","1"
"79","2","1","3","5","3","5","2","4","1","2","9","3"
"80","1","4","2","5","4","2","5","3","1","3","6","4"
"81","2","2","5","4","1","3","2","3","1","4","5","9"
"82","2","3","3","3","3","3","3","3","3","3","8","1"
"83","1","5","4","4","3","2","3","1","1","5","2","10"
"84","1","3","4","5","5","1","2","3","4","1","2","2"
"85","2","1","2","3","3","4","5","1","2","4","10","2"
"86","1","2","5","4","1","3","2","3","1","4","10","9"
"87","1","5","2","4","2","4","1","3","5","1","3","3"
"88","2","4","3","3","2","1","2","5","5","4","6","10"
"89","2","3","4","5","5","1","2","3","4","1","7","2"
"90","2","5","3","2","4","1","5","1","4","2","3","9"
"91","2","3","1","5","2","4","3","4","2","5","6","9"
"92","1","1","2","4","5","3","3","5","4","2","1","7"
"93","1","4","5","1","1","2","3","4","5","2","3","2"
"94","2","2","3","4","4","5","1","2","3","5","1","2"
"95","2","4","5","2","3","1","1","3","2","5","9","7"
"96","1","4","2","1","3","5","4","5","3","1","7","9"
"97","1","3","1","5","2","4","3","4","2","5","1","9"
"98","2","2","2","2","2","2","2","2","2","2","7","1"
"99","2","2","4","2","3","3","5","4","5","1","1","8"
"100","1","5","1","2","2","3","4","5","1","3","4","2"
