"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","1","2","2","1","1","1","1","1","1","1","2","2","2","2","2","2","3","2","3","2","3","6"
"2","1","2","1","1","2","1","2","2","1","2","1","1","2","1","2","2","4","5","4","6","4","1"
"3","1","2","1","2","1","2","2","2","1","1","2","1","2","2","1","1","5","5","2","3","8","8"
"4","2","1","1","1","1","2","1","2","1","2","2","2","1","2","1","2","1","4","1","2","6","1"
"5","2","2","2","1","1","2","2","2","2","1","1","2","2","1","1","2","5","5","3","9","5","5"
"6","2","1","2","2","2","1","2","1","1","1","1","2","2","2","1","1","5","1","2","10","2","1"
"7","1","2","2","2","1","1","1","2","2","2","1","2","1","1","1","1","1","4","4","10","10","8"
"8","2","1","1","1","1","1","2","1","2","2","2","2","2","1","2","1","5","2","3","1","4","8"
"9","2","2","1","2","2","2","1","1","1","1","1","2","1","1","2","2","5","2","5","3","10","6"
"10","2","2","2","1","1","2","2","2","2","1","1","2","2","1","1","2","3","3","1","5","1","1"
"11","2","1","1","1","1","1","2","1","2","2","2","2","2","1","2","1","3","5","1","7","10","4"
"12","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","5","5","1","7","9","7"
"13","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","3","3","4","3","5","3"
"14","1","1","2","2","1","2","2","1","2","1","2","1","1","1","2","2","3","1","4","2","8","9"
"15","2","2","1","2","1","2","1","1","2","2","1","1","2","2","2","1","2","1","5","8","5","1"
"16","2","1","2","2","2","1","2","1","1","1","1","2","2","2","1","1","3","4","5","6","8","7"
"17","1","2","2","2","1","1","1","2","2","2","1","2","1","1","1","1","5","3","3","8","8","6"
"18","2","2","1","2","1","2","1","1","2","2","1","1","2","2","2","1","3","2","1","10","7","3"
"19","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","2","2","5","5","7"
"20","1","1","1","1","2","2","2","2","2","1","1","2","1","2","2","1","3","4","2","8","3","8"
"21","2","1","1","1","1","2","1","2","1","2","2","2","1","2","1","2","5","3","5","10","4","9"
"22","1","1","2","2","2","2","1","2","1","2","2","2","2","1","2","1","2","4","1","1","5","9"
"23","2","2","2","1","2","1","1","2","2","1","2","1","1","2","2","1","1","3","3","7","8","1"
"24","1","2","2","1","1","1","1","1","1","1","2","2","2","2","2","2","5","4","5","6","7","10"
"25","2","1","2","2","2","1","2","1","1","1","1","2","2","2","1","1","4","5","1","8","10","9"
"26","2","1","2","2","1","1","2","2","1","2","1","1","1","2","2","2","5","5","4","5","3","4"
"27","1","2","1","1","2","1","2","2","1","2","1","1","2","1","2","2","3","4","3","4","2","9"
"28","1","2","2","2","1","1","1","2","2","2","1","2","1","1","1","1","4","2","2","6","6","4"
"29","1","2","1","2","1","2","2","2","1","1","2","1","2","2","1","1","2","2","4","7","2","2"
"30","2","2","2","1","1","2","2","2","2","1","1","2","2","1","1","2","4","4","2","7","3","3"
"31","2","1","1","1","1","2","1","2","1","2","2","2","1","2","1","2","3","1","3","6","10","5"
"32","2","2","2","1","2","2","2","1","1","2","2","1","1","1","1","1","5","4","1","2","5","4"
"33","1","1","1","1","2","2","2","2","2","1","1","2","1","2","2","1","4","5","3","10","5","10"
"34","1","2","2","1","1","1","1","1","1","1","2","2","2","2","2","2","4","3","4","4","5","8"
"35","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","4","4","5","5","7","5"
"36","1","2","2","2","1","1","1","2","2","2","1","2","1","1","1","1","2","5","5","2","2","10"
"37","1","2","1","2","1","2","2","2","1","1","2","1","2","2","1","1","4","4","1","1","6","6"
"38","1","2","2","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","10","1","4"
"39","1","1","2","2","2","2","1","2","1","2","2","2","2","1","2","1","3","5","2","3","7","1"
"40","1","1","2","2","1","2","2","1","2","1","2","1","1","1","2","2","2","5","3","10","6","7"
"41","1","2","1","1","2","1","2","2","1","2","1","1","2","1","2","2","2","3","2","2","10","7"
"42","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5","5","1","1","3"
"43","1","1","2","1","2","2","1","1","2","2","1","1","2","2","1","2","3","1","5","7","6","8"
"44","1","1","1","1","2","2","2","2","2","1","1","2","1","2","2","1","5","1","4","2","7","2"
"45","2","2","2","1","1","2","2","2","2","1","1","2","2","1","1","2","1","1","4","1","7","7"
"46","2","1","1","2","2","1","1","2","2","1","2","1","2","1","1","2","1","2","2","6","5","2"
"47","1","2","2","1","1","1","1","1","1","1","2","2","2","2","2","2","1","5","1","8","9","2"
"48","1","1","1","1","2","2","2","2","2","1","1","2","1","2","2","1","1","2","5","4","9","4"
"49","1","1","2","2","2","2","1","2","1","2","2","2","2","1","2","1","4","1","3","5","9","3"
"50","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","1","1","2","9","1","9"
"51","2","1","2","2","1","1","2","2","1","2","1","1","1","2","2","2","1","1","5","7","5","6"
"52","1","1","2","2","1","2","2","1","2","1","2","1","1","1","2","2","4","2","5","4","10","1"
"53","1","2","1","1","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","10","8","5"
"54","1","2","1","2","1","2","2","2","1","1","2","1","2","2","1","1","1","1","3","5","10","10"
