"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S"
"1","2","1","1","2","1","2","1","3","4","1","4","5","5","2","1","2","5","6"
"2","2","1","2","2","2","1","2","2","5","4","4","3","2","3","1","1","1","10"
"3","1","2","1","1","1","2","2","5","3","1","4","3","1","4","2","5","4","4"
"4","1","2","2","1","1","1","1","3","4","5","1","1","2","3","4","5","2","4"
"5","1","1","1","2","1","2","2","5","3","1","4","3","1","4","2","5","2","3"
"6","1","1","2","2","1","1","1","1","2","4","2","3","3","5","4","5","3","1"
"7","2","2","1","1","2","2","1","3","5","3","2","4","1","5","1","4","3","3"
"8","1","2","2","1","2","1","2","4","4","4","4","4","4","4","4","4","5","7"
"9","2","2","1","2","1","1","2","5","1","2","3","3","4","5","1","2","5","7"
"10","1","2","2","1","1","1","1","2","3","4","5","5","1","2","3","4","2","2"
"11","1","2","1","2","2","1","2","4","3","3","4","1","2","5","5","2","3","2"
"12","1","1","2","1","2","2","1","1","1","1","1","1","1","1","1","1","5","2"
"13","1","2","1","2","2","2","1","1","3","1","5","2","4","3","4","2","1","10"
"14","1","2","2","1","1","1","1","5","1","2","3","3","4","5","1","2","2","8"
"15","2","2","1","2","1","1","2","1","2","3","4","4","5","1","2","3","5","9"
"16","1","1","2","2","2","2","2","2","1","1","2","4","5","3","3","5","4","7"
"17","1","1","1","1","1","1","1","2","4","1","3","1","3","5","2","4","1","9"
"18","2","1","2","2","2","1","2","3","1","5","5","4","3","4","2","2","1","2"
"19","2","1","1","1","2","1","1","1","1","2","4","5","3","3","5","4","4","3"
"20","1","1","1","2","1","2","2","2","5","3","1","5","3","1","4","2","2","7"
"21","1","2","2","1","1","1","1","4","5","1","2","2","3","4","5","1","2","6"
"22","2","2","2","2","2","2","1","1","5","4","3","1","5","4","3","2","2","3"
"23","2","2","2","2","2","2","1","5","4","3","2","5","4","3","2","1","2","1"
"24","2","1","1","1","2","1","1","3","3","4","1","2","5","5","2","1","4","7"
"25","2","2","1","1","2","2","1","2","4","2","1","3","5","4","5","3","3","1"
"26","2","2","2","2","1","1","1","1","5","4","3","1","5","4","3","2","4","4"
"27","1","2","1","2","2","2","1","4","1","4","3","5","2","1","2","5","1","6"
"28","1","1","1","1","1","1","1","1","3","5","2","5","2","4","1","3","1","7"
"29","1","1","2","2","2","2","2","5","4","4","5","2","3","1","1","3","4","3"
"30","2","1","1","2","1","2","1","4","5","2","5","1","1","3","2","3","5","8"
"31","2","1","1","1","2","1","2","4","1","3","5","3","5","2","4","1","2","4"
"32","1","1","2","1","2","2","1","4","4","4","4","4","4","4","4","4","5","8"
"33","1","1","2","2","1","1","1","2","3","5","3","4","4","1","5","1","3","3"
"34","2","2","2","2","1","1","1","3","2","1","5","3","2","1","5","4","4","8"
"35","2","2","2","2","2","2","1","2","1","5","4","2","1","5","4","3","2","5"
"36","1","1","1","2","1","2","2","1","4","2","5","4","2","5","3","1","2","5"
"37","2","1","1","2","1","2","1","1","2","4","2","3","3","5","4","5","5","2"
"38","1","2","1","1","1","2","2","4","2","5","3","2","5","3","1","4","4","2"
"39","2","2","2","2","1","1","1","4","3","2","1","4","3","2","1","5","4","10"
"40","1","2","1","2","2","1","2","3","2","2","3","5","1","4","4","1","3","10"
"41","1","1","2","2","1","1","1","4","5","2","5","1","1","3","2","3","3","7"
"42","2","1","1","1","2","1","2","1","3","5","2","5","2","4","1","3","2","8"
"43","2","2","2","2","1","1","1","5","4","3","2","5","4","3","2","1","4","2"
"44","2","2","1","2","1","1","2","2","3","4","5","5","1","2","3","4","5","1"
"45","2","1","2","1","1","2","2","3","3","4","1","2","5","5","2","1","3","8"
"46","2","2","1","1","2","2","1","4","1","4","3","5","2","1","2","5","3","5"
"47","1","1","2","2","1","1","1","3","4","1","4","5","5","2","1","2","3","5"
"48","1","2","1","1","1","2","2","3","1","4","2","1","4","2","5","3","4","10"
"49","1","2","2","1","2","1","2","5","5","5","5","5","5","5","5","5","5","9"
"50","1","2","2","1","2","1","2","3","3","3","3","3","3","3","3","3","5","5"
"51","2","1","2","1","1","2","2","4","4","5","2","3","1","1","3","2","3","10"
"52","2","2","2","2","2","2","1","3","2","1","5","3","2","1","5","4","2","7"
"53","1","2","1","2","2","2","1","2","4","2","1","3","5","4","5","3","1","2"
"54","1","1","2","1","2","2","1","2","2","2","2","2","2","2","2","2","5","4"
