"","A","B","C","D","E","F","G","H","J","K","L"
"1","1","2","4","5","3","3","5","4","2","1","7"
"2","4","4","5","2","3","1","1","3","7","5","6"
"3","2","1","5","3","2","1","5","4","4","8","5"
"4","1","3","5","3","5","2","4","1","2","4","3"
"5","1","4","2","1","4","2","5","3","5","8","4"
"6","5","5","1","3","4","2","2","4","3","1","6"
"7","3","4","1","2","5","5","2","1","4","3","7"
"8","1","4","3","5","2","1","2","5","8","4","9"
"9","5","2","5","1","1","3","2","3","9","4","8"
"10","2","1","1","5","4","5","3","3","2","9","10"
"11","4","3","3","2","1","2","5","5","4","1","10"
"12","4","5","1","1","2","3","4","5","2","3","2"
"13","3","1","5","2","4","3","4","2","10","6","9"
"14","4","1","4","5","5","2","1","2","8","3","8"
"15","2","4","1","4","1","3","5","2","8","10","3"
"16","2","4","1","4","1","3","5","2","3","5","3"
"17","5","2","4","2","4","1","3","5","6","8","3"
"18","4","2","5","4","2","5","3","1","3","6","4"
"19","3","5","3","4","4","1","5","1","2","7","8"
"20","3","4","5","5","1","2","3","4","1","2","2"
"21","5","3","2","4","1","5","1","4","7","3","9"
"22","3","5","2","5","2","4","1","3","4","6","3"
"23","5","1","3","4","2","2","4","3","6","5","7"
"24","2","2","3","5","1","4","4","1","5","3","6"
"25","1","5","4","2","1","5","4","3","8","2","5"
"26","3","5","2","5","2","4","1","3","9","1","3"
"27","2","3","5","1","4","4","1","5","3","2","7"
"28","5","3","2","4","1","5","1","4","2","8","9"
"29","4","1","3","1","3","5","2","4","10","2","3"
"30","2","2","2","2","2","2","2","2","2","2","1"
"31","4","3","3","2","1","2","5","5","9","6","10"
"32","5","5","5","5","5","5","5","5","10","10","1"
"33","1","3","1","2","2","4","3","4","10","5","8"
"34","1","1","2","4","5","3","3","5","4","2","6"
"35","2","5","3","2","5","3","1","4","1","4","4"
"36","5","4","4","3","2","3","1","1","5","2","10"
"37","4","4","4","4","4","4","4","4","4","4","1"
"38","5","3","1","5","3","1","4","2","4","7","4"
"39","3","3","4","1","2","5","5","2","6","4","6"
"40","2","1","1","5","4","5","3","3","7","4","10"
"41","4","5","1","1","2","3","4","5","7","8","2"
"42","3","3","3","3","3","3","3","3","3","3","1"
"43","4","1","4","5","5","2","1","2","3","8","8"
"44","1","1","1","1","1","1","1","1","1","1","1"
"45","5","4","3","1","5","4","3","2","7","1","5"
"46","2","4","2","3","3","5","4","5","1","6","8"
"47","4","3","2","5","4","3","2","1","6","10","5"
"48","2","2","3","5","1","4","4","1","10","8","6"
"49","5","1","3","4","2","2","4","3","1","10","7"
"50","3","5","3","4","4","1","5","1","7","2","8"
"51","5","2","4","2","4","1","3","5","1","3","3"
"52","1","2","3","3","4","5","1","2","4","5","2"
"53","3","2","2","1","5","1","4","4","8","5","10"
"54","4","3","2","5","4","3","2","1","1","5","5"
"55","5","1","2","2","3","4","5","1","8","9","2"
"56","5","4","3","1","5","4","3","2","2","6","5"
"57","5","4","4","3","2","3","1","1","10","7","10"
"58","1","3","1","2","2","4","3","4","5","10","8"
"59","4","4","4","4","4","4","4","4","9","9","1"
"60","1","2","3","3","4","5","1","2","9","10","2"
"61","4","1","3","1","3","5","2","4","5","7","3"
"62","5","1","2","2","3","4","5","1","3","4","2"
"63","3","1","4","3","1","4","2","5","7","10","4"
"64","2","5","4","1","3","2","3","1","4","10","9"
"65","5","5","5","5","5","5","5","5","5","5","1"
"66","4","5","2","3","1","1","3","2","5","4","7"
"67","4","4","5","2","3","1","1","3","2","10","6"
"68","1","1","1","1","1","1","1","1","6","6","1"
"69","4","2","1","3","5","4","5","3","1","7","9"
"70","2","3","4","4","5","1","2","3","10","1","2"
"71","1","5","4","2","1","5","4","3","3","7","5"
"72","1","2","4","5","3","3","5","4","7","6","7"
"73","4","5","2","3","1","1","3","2","10","9","7"
"74","3","1","4","3","1","4","2","5","2","5","4"
"75","4","2","1","3","5","4","5","3","6","2","9"
"76","3","2","2","1","5","1","4","4","3","10","10"
"77","2","5","4","1","3","2","3","1","9","5","9"
"78","3","3","4","1","2","5","5","2","1","9","6"
"79","1","1","2","4","5","3","3","5","9","7","6"
"80","3","2","1","4","3","2","1","5","10","4","5"
"81","5","2","5","1","1","3","2","3","4","9","8"
"82","3","2","1","4","3","2","1","5","5","9","5"
"83","3","4","1","2","5","5","2","1","9","8","7"
"84","1","4","3","5","2","1","2","5","3","9","9"
"85","1","5","5","4","3","4","2","2","1","8","10"
"86","1","5","5","4","3","4","2","2","6","3","10"
"87","3","3","3","3","3","3","3","3","8","8","1"
"88","1","4","2","1","4","2","5","3","10","3","4"
"89","2","3","5","1","4","4","1","5","8","7","7"
"90","4","2","5","4","2","5","3","1","8","1","4"
"91","5","3","1","5","3","1","4","2","9","2","4"
"92","2","4","2","3","3","5","4","5","6","1","8"
"93","3","4","5","5","1","2","3","4","6","7","2"
"94","3","1","5","2","4","3","4","2","5","1","9"
"95","5","5","1","3","4","2","2","4","8","6","6"
"96","2","5","3","2","5","3","1","4","6","9","4"
"97","1","3","5","3","5","2","4","1","7","9","3"
"98","2","2","2","2","2","2","2","2","7","7","1"
"99","2","3","4","4","5","1","2","3","5","6","2"
"100","2","1","5","3","2","1","5","4","9","3","5"
