,A,B,C
1,1,1,11
2,1,2,9
3,1,3,1
4,1,1,16
5,1,2,9
6,1,3,10
7,1,1,8
8,1,2,15
9,1,3,13
10,1,1,3
11,1,2,4
12,1,3,15
13,1,1,16
14,1,2,11
15,1,3,2
16,1,1,6
17,1,2,3
18,1,3,8
19,1,1,17
20,1,2,12
21,1,3,6
22,1,1,6
23,1,2,17
24,1,3,5
25,1,1,5
26,1,2,14
27,1,3,4
28,1,1,4
29,1,2,16
30,1,3,12
31,1,1,9
32,1,2,10
33,1,3,13
34,1,1,11
35,1,2,12
36,1,3,8
37,1,1,13
38,1,2,7
39,1,3,14
40,1,1,17
41,1,2,14
42,1,3,2
43,1,1,10
44,1,2,2
45,1,3,1
46,1,1,3
47,1,2,1
48,1,3,5
49,1,1,7
50,1,2,7
51,1,3,15
52,2,1,5
53,2,2,1
54,2,3,14
55,2,1,8
56,2,2,3
57,2,3,17
58,2,1,15
59,2,2,8
60,2,3,4
61,2,1,14
62,2,2,4
63,2,3,10
64,2,1,13
65,2,2,6
66,2,3,12
67,2,1,7
68,2,2,13
69,2,3,7
70,2,1,1
71,2,2,13
72,2,3,3
73,2,1,1
74,2,2,8
75,2,3,16
76,2,1,15
77,2,2,11
78,2,3,11
79,2,1,4
80,2,2,2
81,2,3,7
82,2,1,12
83,2,2,5
84,2,3,9
85,2,1,12
86,2,2,5
87,2,3,17
88,2,1,14
89,2,2,16
90,2,3,9
91,2,1,2
92,2,2,15
93,2,3,3
94,2,1,2
95,2,2,17
96,2,3,11
97,2,1,9
98,2,2,10
99,2,3,16
100,2,1,10
101,2,2,6
102,2,3,6
