"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","1","2","1","2","2","4","3","1","4","1","2","4","1","3","2","28"
"2","1","2","2","2","1","2","4","2","4","1","2","3","1","3","1","4","23"
"3","1","1","1","1","1","1","1","2","2","2","3","3","3","4","4","4","3"
"4","1","1","1","2","1","2","2","3","3","1","3","1","3","2","1","3","18"
"5","2","1","2","2","2","1","2","2","4","3","3","4","4","4","1","2","8"
"6","1","2","2","2","1","2","1","4","1","2","1","4","3","2","3","4","26"
"7","1","1","1","2","2","1","2","2","1","3","4","2","3","4","3","1","27"
"8","1","1","1","2","2","1","3","1","1","4","3","2","3","1","3","2","25"
"9","2","2","1","2","2","1","4","2","2","2","1","1","1","3","3","3","6"
"10","2","1","2","2","1","2","3","4","2","2","3","3","4","3","3","3","5"
"11","2","1","2","2","2","1","1","2","3","4","1","3","2","2","4","1","14"
"12","2","2","1","2","2","1","4","3","4","4","1","1","4","3","3","3","2"
"13","1","2","2","2","1","2","1","1","2","4","3","1","4","3","4","2","27"
"14","2","2","1","1","2","2","1","3","2","1","3","4","2","4","3","1","17"
"15","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"16","2","2","1","2","1","2","1","1","3","4","4","3","3","3","2","1","8"
"17","2","2","1","1","2","2","3","2","1","3","1","3","4","1","2","4","19"
"18","2","2","1","1","2","2","1","1","3","2","4","2","3","1","4","3","16"
"19","1","2","2","2","2","1","1","4","2","4","2","4","1","4","3","1","20"
"20","2","1","2","1","1","1","2","1","2","4","1","4","3","4","2","3","15"
"21","2","1","2","1","2","2","4","4","3","1","2","4","1","2","1","3","27"
"22","2","2","1","1","1","1","3","3","4","2","1","3","2","1","2","4","27"
"23","1","2","2","2","2","1","3","1","4","3","1","2","4","2","1","3","17"
"24","2","1","2","2","1","2","3","4","1","1","4","4","2","1","1","1","4"
"25","2","1","2","1","2","2","4","1","4","3","4","1","2","3","2","1","26"
"26","2","2","1","1","2","2","1","2","1","3","2","3","4","3","1","4","15"
"27","1","1","1","1","1","1","1","2","4","4","1","1","2","1","1","1","5"
"28","1","1","1","2","2","1","2","1","3","2","3","4","2","3","1","4","28"
"29","1","1","1","1","1","1","1","2","3","3","2","2","4","3","3","3","4"
"30","1","1","1","1","2","2","4","4","2","1","1","2","2","2","3","4","8"
"31","2","1","2","1","2","2","1","3","4","1","2","3","3","1","3","2","24"
"32","2","1","2","1","2","2","1","3","3","2","1","4","1","3","1","4","25"
"33","1","2","2","2","1","2","4","2","1","4","3","2","2","4","2","3","24"
"34","1","1","1","1","2","2","3","4","1","2","3","1","4","4","2","3","14"
"35","1","2","2","1","1","1","4","3","2","1","4","2","3","3","1","4","14"
"36","2","2","1","2","1","2","2","4","3","1","1","2","4","3","2","1","13"
"37","2","2","1","2","1","2","1","1","1","2","2","1","2","2","3","4","10"
"38","1","1","1","1","2","2","4","4","1","2","2","1","4","4","1","2","9"
"39","2","2","1","1","1","1","2","4","3","2","1","4","4","2","4","1","24"
"40","2","1","2","1","1","1","4","1","4","2","4","2","2","3","4","2","21"
"41","1","1","1","2","2","1","3","1","2","3","4","1","1","3","1","4","24"
"42","2","1","2","1","1","1","4","1","2","4","2","4","3","2","1","3","19"
"43","1","2","2","2","2","1","1","4","4","2","4","2","4","1","2","4","18"
"44","2","1","2","1","1","1","2","4","1","2","4","3","1","3","4","2","17"
"45","1","1","1","2","1","2","4","3","4","2","3","2","1","2","4","1","15"
"46","2","2","1","2","2","1","4","4","4","4","4","4","4","4","4","4","1"
"47","1","1","1","2","2","1","2","3","2","1","2","3","4","1","4","3","26"
"48","2","2","1","1","1","1","2","4","2","3","4","1","3","1","3","2","23"
"49","2","1","2","2","2","1","1","3","4","2","2","1","3","4","1","2","13"
"50","2","2","1","2","1","2","1","1","2","1","1","2","4","4","1","2","11"
"51","2","1","2","1","2","2","1","3","1","4","3","2","4","2","4","1","23"
"52","1","2","2","1","2","2","2","3","3","3","1","1","1","4","4","4","7"
"53","2","1","2","1","1","1","4","1","1","3","1","3","1","4","3","1","18"
"54","1","2","2","2","2","1","3","3","1","4","2","4","1","3","2","1","16"
"55","1","1","1","2","2","1","3","1","3","2","1","4","2","4","2","3","23"
"56","2","1","2","2","1","2","3","2","2","2","4","4","4","1","1","1","7"
"57","1","1","1","2","1","2","4","2","3","4","2","1","3","1","2","4","17"
"58","1","2","2","2","2","1","1","4","1","3","1","3","3","2","1","3","21"
