"","A","B","C","D","E","F","G","H","J","K","L","M","N","O"
"1","1","2","2","3","1","1","2","2","3","3","2","2","1","22"
"2","2","2","2","3","3","2","3","2","2","3","1","3","3","2"
"3","1","3","3","1","3","1","3","1","3","3","2","1","1","36"
"4","1","2","1","2","3","1","1","3","2","2","2","2","1","14"
"5","2","3","1","1","3","2","2","2","1","2","1","1","3","26"
"6","3","2","3","3","3","3","2","1","3","3","2","1","2","27"
"7","1","3","3","3","1","1","3","1","1","2","1","2","1","37"
"8","1","3","1","1","2","3","2","1","1","3","2","3","3","28"
"9","2","2","1","3","2","1","2","3","2","1","2","1","2","10"
"10","2","3","1","2","2","1","1","3","3","2","1","1","2","24"
"11","3","2","3","2","1","2","1","2","1","2","1","1","3","32"
"12","3","1","1","2","3","3","1","1","2","2","1","1","3","22"
"13","3","2","3","3","1","2","1","3","3","2","1","2","2","28"
"14","3","3","1","2","1","3","3","1","2","2","2","2","2","6"
"15","3","2","3","3","2","2","1","2","1","3","3","1","3","29"
"16","3","1","2","2","1","3","3","3","2","3","2","2","1","26"
"17","1","1","3","1","3","2","2","1","2","2","3","2","3","9"
"18","1","2","1","3","2","2","3","2","1","2","3","1","1","17"
"19","2","1","1","1","3","3","3","3","1","3","2","3","3","38"
"20","2","1","2","3","1","3","2","3","1","2","3","1","1","30"
"21","3","1","1","3","3","1","2","3","3","1","1","3","1","19"
"22","1","3","2","2","2","3","3","2","3","2","1","1","2","34"
"23","1","1","2","1","2","1","2","2","3","3","1","1","2","4"
"24","2","3","1","3","2","1","3","1","2","1","1","2","3","25"
"25","1","3","1","1","3","3","2","3","2","1","1","2","1","29"
"26","3","1","2","1","3","2","1","2","3","2","2","3","1","25"
"27","1","2","2","1","1","1","1","3","1","3","1","2","3","18"
"28","3","1","1","3","1","2","3","3","1","3","3","2","2","20"
"29","3","3","1","3","1","3","1","1","2","2","3","3","1","4"
"30","1","3","3","3","2","2","2","2","3","2","1","2","2","38"
"31","3","2","1","1","1","2","2","1","2","1","3","3","1","34"
"32","2","2","1","1","2","1","3","3","3","3","3","1","1","13"
"33","1","1","3","2","2","2","3","3","3","3","1","2","1","11"
"34","3","3","2","3","3","1","2","2","1","1","1","2","1","8"
"35","2","1","1","1","2","2","1","2","2","3","2","3","2","37"
"36","3","1","3","1","2","1","3","3","2","2","2","1","3","16"
"37","3","2","2","2","3","3","2","3","3","1","3","1","3","37"
"38","2","2","3","3","3","1","3","1","1","2","1","3","1","5"
"39","1","1","2","3","3","2","1","1","2","3","1","1","1","7"
"40","1","1","3","3","1","3","2","2","2","2","2","3","3","13"
"41","1","2","3","1","1","3","3","2","2","1","3","3","1","24"
"42","1","1","2","3","2","1","1","2","3","3","3","3","3","6"
"43","2","1","2","1","2","3","2","1","1","2","3","2","1","31"
"44","1","2","2","1","1","2","3","1","1","2","2","1","2","19"
"45","1","1","2","2","2","3","2","3","3","1","3","2","3","5"
"46","2","3","3","1","3","3","1","2","3","2","3","2","1","23"
"47","2","3","2","3","1","2","2","1","3","3","3","3","2","14"
"48","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"49","3","3","3","1","1","3","1","3","3","1","2","1","1","2"
"50","1","2","1","2","3","2","1","1","3","3","3","2","1","16"
"51","3","3","2","3","2","1","1","3","1","1","2","1","2","9"
"52","1","2","2","1","2","3","1","1","2","1","1","3","3","20"
"53","2","2","1","3","1","3","3","1","3","2","1","2","3","12"
"54","2","2","1","3","3","3","1","1","1","1","2","3","2","11"
"55","2","2","2","1","1","1","1","3","3","2","2","2","3","3"
"56","3","1","3","1","2","3","1","1","3","1","1","2","2","15"
"57","3","1","1","3","3","3","3","2","3","2","3","1","2","18"
"58","2","1","2","2","3","1","3","2","2","1","3","1","1","28"
"59","1","1","3","2","1","3","1","2","1","3","1","3","1","10"
"60","3","3","3","2","2","2","2","1","1","3","3","3","1","3"
"61","3","3","2","1","3","2","3","1","3","2","3","2","3","10"
"62","2","2","1","2","2","3","1","1","3","3","3","1","3","8"
"63","2","1","3","3","1","1","1","2","2","1","3","2","3","35"
"64","2","3","2","1","3","3","1","3","2","3","1","2","2","17"
"65","2","3","3","1","2","2","3","3","1","1","3","3","2","22"
"66","1","1","3","1","1","2","3","3","2","2","2","3","2","8"
"67","2","3","3","2","2","3","1","2","2","3","3","2","3","19"
"68","3","1","1","3","2","2","3","2","3","1","2","2","1","21"
"69","1","1","1","2","2","1","2","1","1","2","3","2","2","2"
"70","3","2","1","1","2","2","2","3","3","2","1","3","1","35"
"71","2","1","2","2","1","1","3","1","3","2","2","3","2","29"
"72","2","3","3","2","3","1","2","2","3","2","2","1","1","20"
"73","3","2","2","2","2","3","3","2","1","1","2","2","1","39"
