"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","3","1","1","2","1","1","2","3","1","3","1","3","2","2","10"
"2","2","1","3","3","2","3","1","1","1","2","2","1","1","3","7"
"3","2","2","2","1","1","1","1","3","3","2","2","2","3","1","3"
"4","1","3","2","2","2","3","3","2","3","2","1","1","2","3","8"
"5","2","2","1","2","1","3","3","2","3","3","1","3","1","1","9"
"6","3","1","1","3","3","1","2","3","3","1","1","3","1","2","6"
"7","1","2","2","1","3","3","1","3","1","2","3","3","2","2","8"
"8","1","3","1","1","2","3","2","1","1","3","2","3","3","3","2"
"9","1","3","3","3","1","1","3","1","1","2","1","2","1","3","11"
"10","3","2","3","2","1","2","1","2","1","2","1","1","3","3","6"
"11","2","3","3","2","2","3","1","2","2","3","3","2","3","2","6"
"12","3","2","3","3","1","2","1","3","3","2","1","2","2","3","2"
"13","2","3","3","2","3","1","2","2","3","2","2","1","1","2","7"
"14","3","3","1","1","1","2","1","2","2","3","2","1","2","1","5"
"15","2","1","3","3","3","1","1","3","1","3","2","2","3","3","8"
"16","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"17","2","3","3","2","2","2","2","1","2","1","2","3","1","2","5"
"18","1","2","3","3","2","1","1","1","3","1","3","3","2","2","13"
"19","3","3","1","2","2","1","3","3","1","2","3","3","3","1","7"
"20","1","3","1","1","3","3","2","3","2","1","1","2","1","3","3"
"21","3","1","1","3","1","2","3","3","1","3","3","2","2","2","7"
"22","2","2","2","3","3","2","3","2","2","3","1","3","3","1","2"
"23","3","3","2","1","3","2","3","1","3","2","3","2","3","1","10"
"24","1","1","2","2","2","3","2","3","3","1","3","2","3","1","5"
"25","2","3","3","1","3","3","1","2","3","2","3","2","1","2","10"
"26","2","2","1","3","3","3","1","1","1","1","2","3","2","1","11"
"27","1","3","2","2","3","3","3","1","1","3","2","1","2","3","9"
"28","1","3","1","3","1","2","1","3","3","1","2","1","3","3","5"
"29","1","2","3","2","1","3","2","3","1","3","3","1","2","2","12"
"30","2","3","3","2","1","1","2","1","2","3","1","1","3","2","8"
"31","1","1","3","3","1","3","2","2","2","2","2","3","3","1","13"
"32","1","1","3","2","2","2","3","3","3","3","1","2","1","1","11"
"33","1","1","3","1","1","2","3","3","2","2","2","3","2","1","8"
"34","1","3","1","3","2","3","2","3","2","3","2","2","1","3","6"
"35","3","2","2","2","3","3","2","3","3","1","3","1","3","3","11"
"36","1","2","2","3","2","2","3","1","2","1","2","1","3","2","10"
"37","2","2","1","2","2","3","1","1","3","3","3","1","3","1","8"
"38","1","1","3","2","1","3","1","2","1","3","1","3","1","1","10"
"39","2","2","3","1","3","2","2","3","1","1","1","1","1","1","6"
"40","2","3","1","3","2","1","3","1","2","1","1","2","3","2","12"
"41","1","1","1","2","2","1","2","1","1","2","3","2","2","1","2"
