"","A","B","C","D","E","F","G","H","J","K","L","M"
"1","9","11","2","4","6","8","10","1","3","5","7","3"
"2","10","8","6","4","2","11","9","7","5","3","1","10"
"3","1","1","1","1","1","1","1","1","1","1","1","1"
"4","8","7","6","5","4","3","2","1","11","10","9","11"
"5","6","2","9","5","1","8","4","11","7","3","10","8"
"6","6","4","2","11","9","7","5","3","1","10","8","10"
"7","2","7","1","6","11","5","10","4","9","3","8","6"
"8","8","11","3","6","9","1","4","7","10","2","5","4"
"9","10","1","3","5","7","9","11","2","4","6","8","3"
"10","4","9","3","8","2","7","1","6","11","5","10","6"
"11","5","11","6","1","7","2","8","3","9","4","10","7"
"12","8","8","8","8","8","8","8","8","8","8","8","1"
"13","3","11","8","5","2","10","7","4","1","9","6","9"
"14","8","2","7","1","6","11","5","10","4","9","3","6"
"15","4","2","11","9","7","5","3","1","10","8","6","10"
"16","11","7","3","10","6","2","9","5","1","8","4","8"
"17","5","4","3","2","1","11","10","9","8","7","6","11"
"18","4","4","4","4","4","4","4","4","4","4","4","1"
"19","7","5","3","1","10","8","6","4","2","11","9","10"
"20","9","9","9","9","9","9","9","9","9","9","9","1"
"21","11","9","7","5","3","1","10","8","6","4","2","10"
"22","9","1","4","7","10","2","5","8","11","3","6","4"
"23","6","11","5","10","4","9","3","8","2","7","1","6"
"24","2","6","10","3","7","11","4","8","1","5","9","5"
"25","1","3","5","7","9","11","2","4","6","8","10","3"
"26","10","2","5","8","11","3","6","9","1","4","7","4"
"27","10","10","10","10","10","10","10","10","10","10","10","1"
"28","5","1","8","4","11","7","3","10","6","2","9","8"
"29","3","7","11","4","8","1","5","9","2","6","10","5"
"30","11","2","4","6","8","10","1","3","5","7","9","3"
"31","1","2","3","4","5","6","7","8","9","10","11","2"
"32","7","4","1","9","6","3","11","8","5","2","10","9"
"33","10","4","9","3","8","2","7","1","6","11","5","6"
"34","1","4","7","10","2","5","8","11","3","6","9","4"
"35","2","2","2","2","2","2","2","2","2","2","2","1"
"36","4","7","10","2","5","8","11","3","6","9","1","4"
"37","7","11","4","8","1","5","9","2","6","10","3","5"
"38","1","9","6","3","11","8","5","2","10","7","4","9"
"39","7","7","7","7","7","7","7","7","7","7","7","1"
"40","1","11","10","9","8","7","6","5","4","3","2","11"
"41","7","1","6","11","5","10","4","9","3","8","2","6"
"42","3","6","9","1","4","7","10","2","5","8","11","4"
"43","9","8","7","6","5","4","3","2","1","11","10","11"
