"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"1","1","1","1","2","2","2","2","1","1","1","2","1","2","2","1","1"
"2","1","2","2","1","2","2","1","2","1","1","2","1","2","2","2","8"
"3","1","2","2","2","1","1","2","1","1","2","1","2","1","2","1","1"
"4","2","2","1","1","1","1","2","1","1","2","1","1","1","1","2","3"
"5","2","1","1","2","2","2","1","1","1","1","1","1","1","1","2","8"
"6","1","2","2","2","2","2","2","1","1","2","2","1","1","1","2","6"
"7","1","1","1","2","1","1","2","1","1","1","1","2","2","1","2","6"
"8","1","1","2","2","1","2","2","1","2","1","2","2","1","2","2","8"
"9","1","2","1","1","2","1","1","2","2","1","1","1","1","1","2","6"
"10","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","6"
"11","2","1","2","1","1","2","1","1","1","2","2","1","1","2","2","1"
"12","2","2","1","2","2","1","2","2","1","1","2","1","2","1","2","5"
"13","1","2","2","2","1","2","2","2","1","1","2","2","2","1","1","2"
"14","2","1","2","2","1","2","2","2","1","2","1","2","1","1","2","5"
"15","1","2","1","1","2","1","2","1","1","1","2","2","1","1","1","8"
"16","2","2","1","2","2","2","1","2","2","1","1","1","2","2","1","2"
"17","1","2","1","2","2","1","1","2","1","2","2","2","2","2","1","6"
"18","1","1","2","1","2","2","2","2","1","2","2","2","1","2","1","7"
"19","2","2","2","1","2","2","2","2","1","1","1","1","1","1","1","1"
"20","2","2","2","1","1","1","1","1","2","1","1","1","1","2","1","8"
"21","1","2","2","1","1","2","2","2","2","2","1","1","1","2","2","2"
"22","2","2","2","2","2","1","2","1","2","1","1","2","1","1","2","2"
"23","1","1","2","2","2","1","2","1","2","2","2","2","2","1","1","5"
"24","1","1","2","1","2","1","1","2","2","2","1","1","2","2","1","1"
"25","2","2","1","2","1","1","1","2","1","1","1","2","1","1","1","4"
"26","2","1","2","2","1","2","1","1","2","1","1","2","2","1","1","1"
"27","2","1","1","1","2","2","1","1","2","2","2","2","2","2","1","8"
"28","1","2","1","1","1","1","1","1","2","2","1","2","2","1","1","2"
"29","2","1","2","1","2","2","1","2","2","1","1","2","1","2","2","4"
