,A,B
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,2,1
19,2,2
20,2,3
21,2,4
22,2,5
23,2,6
24,2,7
25,2,8
26,2,9
27,2,10
28,2,11
29,2,12
30,2,13
31,2,14
32,2,15
33,2,16
34,2,17
35,3,1
36,3,2
37,3,3
38,3,4
39,3,5
40,3,6
41,3,7
42,3,8
43,3,9
44,3,10
45,3,11
46,3,12
47,3,13
48,3,14
49,3,15
50,3,16
51,3,17
52,4,1
53,4,2
54,4,3
55,4,4
56,4,5
57,4,6
58,4,7
59,4,8
60,4,9
61,4,10
62,4,11
63,4,12
64,4,13
65,4,14
66,4,15
67,4,16
68,4,17
69,5,1
70,5,2
71,5,3
72,5,4
73,5,5
74,5,6
75,5,7
76,5,8
77,5,9
78,5,10
79,5,11
80,5,12
81,5,13
82,5,14
83,5,15
84,5,16
85,5,17
86,6,1
87,6,2
88,6,3
89,6,4
90,6,5
91,6,6
92,6,7
93,6,8
94,6,9
95,6,10
96,6,11
97,6,12
98,6,13
99,6,14
100,6,15
101,6,16
102,6,17
103,7,1
104,7,2
105,7,3
106,7,4
107,7,5
108,7,6
109,7,7
110,7,8
111,7,9
112,7,10
113,7,11
114,7,12
115,7,13
116,7,14
117,7,15
118,7,16
119,7,17
120,8,1
121,8,2
122,8,3
123,8,4
124,8,5
125,8,6
126,8,7
127,8,8
128,8,9
129,8,10
130,8,11
131,8,12
132,8,13
133,8,14
134,8,15
135,8,16
136,8,17
