"","A","B","C","D","E","F","G"
"1","3","9","12","5","6","11","7"
"2","4","12","2","3","6","7","9"
"3","11","1","9","10","7","2","9"
"4","1","12","4","11","5","6","12"
"5","7","12","8","6","4","2","6"
"6","10","2","9","5","4","7","11"
"7","6","7","11","8","10","12","8"
"8","6","1","12","3","8","4","2"
"9","3","1","10","12","2","5","5"
"10","8","3","1","4","6","2","8"
"11","11","10","12","4","2","6","6"
"12","9","9","9","9","9","9","1"
"13","5","9","4","12","11","2","11"
"14","6","2","8","12","1","11","3"
"15","8","9","2","11","4","12","2"
"16","3","12","7","1","10","4","10"
"17","11","11","11","11","11","11","1"
"18","12","11","7","5","3","1","6"
"19","4","3","5","9","7","11","6"
"20","11","2","3","9","6","12","10"
"21","6","5","1","11","9","7","6"
"22","12","12","12","12","12","12","1"
"23","2","1","3","7","11","9","6"
"24","8","12","3","5","7","10","5"
"25","9","7","4","6","8","11","5"
"26","4","2","11","7","3","6","5"
"27","12","8","2","6","7","5","3"
"28","6","11","3","10","4","5","12"
"29","11","6","4","1","3","5","8"
"30","3","5","11","9","4","8","3"
"31","6","10","5","7","12","3","11"
"32","1","7","10","3","4","9","7"
"33","7","1","4","9","10","3","7"
"34","3","2","4","8","12","10","6"
"35","3","11","1","2","5","12","9"
"36","11","3","10","6","5","8","11"
"37","3","10","8","11","7","9","8"
"38","5","4","6","10","8","12","6"
"39","5","12","10","7","9","11","8"
"40","9","5","7","8","11","6","9"
"41","1","8","12","9","11","7","8"
"42","11","5","2","7","8","1","7"
"43","9","8","10","2","6","4","6"
"44","4","4","4","4","4","4","1"
"45","10","1","2","8","5","11","10"
"46","2","2","2","2","2","2","1"
"47","4","1","6","5","9","8","4"
"48","8","8","8","8","8","8","1"
"49","10","4","1","12","7","6","7"
"50","5","8","9","3","12","6","10"
"51","8","5","6","12","3","9","10"
"52","2","5","4","3","7","12","4"
"53","9","2","12","1","7","8","12"
"54","4","9","1","8","2","3","12"
"55","12","6","3","8","9","2","7"
"56","3","7","2","10","9","6","11"
"57","8","11","10","9","1","6","4"
"58","1","10","11","5","8","2","10"
"59","9","11","5","3","10","2","3"
"60","5","3","12","8","4","1","5"
"61","2","12","1","9","8","5","11"
"62","5","7","3","4","1","8","9"
"63","11","7","1","5","12","4","3"
"64","12","4","11","1","6","9","11"
"65","10","8","5","1","9","12","5"
"66","1","5","8","10","6","3","5"
"67","4","6","12","10","5","9","3"
"68","12","9","8","7","5","4","4"
"69","10","6","8","9","12","1","9"
"70","1","9","5","6","3","10","9"
"71","1","4","3","2","12","11","4"
"72","1","6","2","12","10","8","6"
"73","7","11","2","4","12","9","5"
"74","1","2","7","4","9","5","2"
"75","2","9","7","10","12","8","8"
"76","10","7","12","11","3","2","4"
"77","3","4","9","6","11","1","2"
"78","2","6","9","11","1","4","5"
"79","4","8","3","11","10","1","11"
"80","3","3","3","3","3","3","1"
"81","6","12","9","2","3","8","7"
"82","7","10","9","8","6","5","4"
"83","2","11","12","6","9","3","10"
"84","4","7","8","2","11","5","10"
"85","10","9","11","3","1","5","6"
"86","2","10","6","1","4","11","9"
"87","9","10","3","12","5","7","2"
"88","12","7","6","9","2","10","2"
"89","1","11","6","8","7","4","11"
"90","8","1","11","6","12","7","12"
"91","12","2","10","11","8","3","9"
"92","8","4","12","7","10","5","9"
"93","8","2","5","10","11","4","7"
"94","7","2","6","3","5","1","8"
"95","1","3","9","7","2","12","3"
"96","9","12","11","10","2","1","4"
"97","4","5","10","1","12","2","2"
"98","10","12","6","4","11","3","3"
"99","7","7","7","7","7","7","1"
"100","11","12","5","8","1","9","2"
"101","11","4","8","3","9","10","12"
"102","7","8","1","10","3","11","2"
"103","8","10","4","2","9","1","3"
"104","5","1","7","11","6","10","3"
"105","7","6","10","5","11","12","12"
"106","6","6","6","6","6","6","1"
"107","9","6","1","7","4","10","10"
"108","9","1","8","4","3","12","11"
"109","11","9","6","2","10","7","5"
"110","7","4","5","11","2","8","10"
"111","7","5","12","2","1","10","11"
"112","10","11","4","7","6","8","2"
"113","3","6","5","4","8","7","4"
"114","6","9","10","4","7","1","10"
"115","2","7","5","12","6","1","12"
"116","7","3","11","12","9","4","9"
"117","6","8","4","5","2","9","9"
"118","5","6","11","2","7","3","2"
"119","11","8","7","12","4","3","4"
"120","12","3","4","10","1","7","10"
"121","10","10","10","10","10","10","1"
"122","10","3","7","2","8","9","12"
"123","4","11","9","12","8","10","8"
"124","2","8","11","4","5","10","7"
"125","7","9","3","1","8","6","3"
"126","2","4","10","8","3","7","3"
"127","1","1","1","1","1","1","1"
"128","10","5","3","6","2","4","8"
"129","3","8","6","7","1","2","12"
"130","12","10","1","3","11","8","5"
"131","5","10","2","9","3","4","12"
"132","9","4","2","5","1","3","8"
"133","12","1","5","2","4","6","8"
"134","5","5","5","5","5","5","1"
"135","5","2","1","6","10","9","4"
"136","6","3","2","1","11","10","4"
"137","2","3","8","5","10","6","2"
"138","9","3","6","11","12","5","7"
"139","4","10","7","6","1","12","7"
"140","8","7","9","1","5","3","6"
"141","8","6","7","3","2","11","11"
"142","6","4","7","9","5","2","5"
"143","5","11","8","1","2","7","7"
"144","12","5","9","4","10","11","12"
