"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","4","4","2","2","2","1","1","1","3","3","3","2","4"
"2","3","1","3","4","2","2","1","3","4","1","2","5","12"
"3","4","1","2","1","3","2","3","4","3","1","4","7","6"
"4","2","2","3","3","3","1","1","1","4","4","4","3","10"
"5","3","4","3","1","4","1","2","4","1","3","2","12","2"
"6","2","1","1","2","4","3","1","4","3","4","2","11","3"
"7","4","1","1","3","2","4","2","3","1","4","3","8","2"
"8","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9","3","2","1","2","4","1","4","3","4","2","3","7","5"
"10","3","4","1","4","3","4","1","2","3","2","1","10","6"
"11","2","1","4","1","2","1","4","3","2","3","4","10","7"
"12","1","1","4","4","4","2","2","2","3","3","3","3","5"
"13","4","3","4","2","3","2","1","3","2","4","1","12","1"
"14","2","3","1","4","3","1","2","4","2","1","3","9","12"
"15","3","1","4","2","3","3","2","1","1","2","4","4","8"
"16","1","2","1","3","2","3","4","2","3","1","4","12","8"
"17","1","2","3","2","1","2","3","4","1","4","3","10","8"
"18","1","1","4","4","4","2","2","2","3","3","3","3","1"
"19","4","3","2","3","4","3","2","1","4","1","2","10","9"
"20","2","1","4","1","2","1","4","3","2","3","4","10","11"
"21","3","3","3","3","3","3","3","3","3","3","3","1","11"
"22","2","4","3","2","1","4","2","3","3","1","4","6","9"
"23","4","2","4","3","1","1","2","4","3","2","1","5","11"
"24","1","3","2","4","1","1","4","3","3","4","2","4","2"
"25","1","4","2","3","4","2","1","3","1","2","4","9","7"
"26","1","3","4","1","2","3","1","4","4","2","3","6","2"
"27","1","2","3","2","1","2","3","4","1","4","3","10","12"
"28","1","1","3","3","3","4","4","4","2","2","2","2","5"
"29","3","3","1","1","1","2","2","2","4","4","4","2","11"
"30","2","3","1","4","3","1","2","4","2","1","3","9","4"
"31","2","3","4","3","1","4","1","2","1","3","2","7","8"
"32","4","3","3","4","2","1","3","2","1","2","4","11","5"
"33","4","4","1","1","1","3","3","3","2","2","2","3","4"
"34","1","3","4","1","2","3","1","4","4","2","3","6","6"
"35","3","4","3","1","4","1","2","4","1","3","2","12","6"
"36","3","2","2","4","1","3","1","4","2","3","4","8","5"
"37","2","2","4","4","4","3","3","3","1","1","1","2","2"
"38","2","3","3","1","4","2","4","1","3","2","1","8","8"
"39","1","2","1","3","2","3","4","2","3","1","4","12","12"
"40","4","3","3","4","2","1","3","2","1","2","4","11","9"
"41","3","2","4","1","2","4","3","1","3","4","2","9","5"
"42","2","2","2","2","2","2","2","2","2","2","2","1","6"
"43","4","2","1","4","3","2","4","1","1","3","2","6","7"
"44","2","1","2","4","1","4","3","1","4","2","3","12","11"
"45","4","1","1","3","2","4","2","3","1","4","3","8","6"
"46","3","2","2","4","1","3","1","4","2","3","4","8","9"
"47","3","2","1","2","4","1","4","3","4","2","3","7","9"
"48","1","2","2","1","3","4","2","3","4","3","1","11","4"
"49","3","3","1","1","1","2","2","2","4","4","4","2","3"
"50","2","1","1","2","4","3","1","4","3","4","2","11","7"
"51","3","4","4","3","1","2","4","1","2","1","3","11","10"
"52","3","4","4","3","1","2","4","1","2","1","3","11","6"
"53","1","2","1","3","2","3","4","2","3","1","4","12","4"
"54","1","3","2","4","1","1","4","3","3","4","2","4","6"
"55","4","2","3","1","4","4","1","2","2","1","3","4","11"
"56","4","3","2","3","4","3","2","1","4","1","2","10","5"
"57","3","4","1","4","3","4","1","2","3","2","1","10","10"
"58","4","4","2","2","2","1","1","1","3","3","3","2","12"
"59","4","4","1","1","1","3","3","3","2","2","2","3","8"
"60","4","3","4","2","3","2","1","3","2","4","1","12","5"
"61","2","1","4","1","2","1","4","3","2","3","4","10","3"
"62","2","2","3","3","3","1","1","1","4","4","4","3","6"
"63","3","4","4","3","1","2","4","1","2","1","3","11","2"
"64","2","2","2","2","2","2","2","2","2","2","2","1","2"
"65","2","2","2","2","2","2","2","2","2","2","2","1","10"
"66","4","2","4","3","1","1","2","4","3","2","1","5","3"
"67","3","1","4","2","3","3","2","1","1","2","4","4","12"
"68","2","4","1","3","2","2","3","4","4","3","1","4","5"
"69","4","3","3","4","2","1","3","2","1","2","4","11","1"
"70","4","2","4","3","1","1","2","4","3","2","1","5","7"
"71","2","2","3","3","3","1","1","1","4","4","4","3","2"
"72","1","1","3","3","3","4","4","4","2","2","2","2","1"
"73","2","3","4","3","1","4","1","2","1","3","2","7","4"
"74","4","1","3","2","1","3","4","2","4","3","1","9","2"
"75","3","1","2","3","4","1","3","2","2","4","1","6","12"
"76","1","4","4","2","3","1","3","2","4","1","2","8","11"
"77","3","3","1","1","1","2","2","2","4","4","4","2","7"
"78","1","4","3","4","2","3","2","1","2","4","1","7","3"
"79","3","1","3","4","2","2","1","3","4","1","2","5","4"
"80","1","1","3","3","3","4","4","4","2","2","2","2","9"
"81","2","3","3","1","4","2","4","1","3","2","1","8","12"
"82","2","3","3","1","4","2","4","1","3","2","1","8","4"
"83","1","3","1","2","4","4","3","1","2","3","4","5","10"
"84","3","2","4","1","2","4","3","1","3","4","2","9","9"
"85","4","2","1","4","3","2","4","1","1","3","2","6","3"
"86","2","1","2","4","1","4","3","1","4","2","3","12","3"
"87","2","2","4","4","4","3","3","3","1","1","1","2","10"
"88","2","3","1","4","3","1","2","4","2","1","3","9","8"
"89","4","2","3","1","4","4","1","2","2","1","3","4","3"
"90","2","4","1","3","2","2","3","4","4","3","1","4","9"
"91","2","4","1","3","2","2","3","4","4","3","1","4","1"
"92","1","2","2","1","3","4","2","3","4","3","1","11","8"
"93","4","1","1","3","2","4","2","3","1","4","3","8","10"
"94","4","2","3","1","4","4","1","2","2","1","3","4","7"
"95","1","4","3","4","2","3","2","1","2","4","1","7","11"
"96","4","4","4","4","4","4","4","4","4","4","4","1","8"
"97","1","4","2","3","4","2","1","3","1","2","4","9","11"
"98","4","4","4","4","4","4","4","4","4","4","4","1","12"
"99","1","3","4","1","2","3","1","4","4","2","3","6","10"
"100","2","4","2","1","3","3","4","2","1","4","3","5","5"
"101","4","4","4","4","4","4","4","4","4","4","4","1","4"
"102","3","2","1","2","4","1","4","3","4","2","3","7","1"
"103","1","4","3","4","2","3","2","1","2","4","1","7","7"
"104","2","4","3","2","1","4","2","3","3","1","4","6","5"
"105","1","4","2","3","4","2","1","3","1","2","4","9","3"
"106","3","3","2","2","2","4","4","4","1","1","1","3","11"
"107","3","3","3","3","3","3","3","3","3","3","3","1","3"
"108","2","1","1","2","4","3","1","4","3","4","2","11","11"
"109","1","2","3","2","1","2","3","4","1","4","3","10","4"
"110","1","3","1","2","4","4","3","1","2","3","4","5","6"
"111","3","4","1","4","3","4","1","2","3","2","1","10","2"
"112","4","4","2","2","2","1","1","1","3","3","3","2","8"
"113","4","4","1","1","1","3","3","3","2","2","2","3","12"
"114","3","3","3","3","3","3","3","3","3","3","3","1","7"
"115","3","1","2","3","4","1","3","2","2","4","1","6","4"
"116","3","1","3","4","2","2","1","3","4","1","2","5","8"
"117","4","1","2","1","3","2","3","4","3","1","4","7","2"
"118","3","3","2","2","2","4","4","4","1","1","1","3","3"
"119","3","3","2","2","2","4","4","4","1","1","1","3","7"
"120","1","1","4","4","4","2","2","2","3","3","3","3","9"
"121","2","4","3","2","1","4","2","3","3","1","4","6","1"
"122","3","2","2","4","1","3","1","4","2","3","4","8","1"
"123","1","1","1","1","1","1","1","1","1","1","1","1","9"
"124","4","1","3","2","1","3","4","2","4","3","1","9","10"
"125","3","1","4","2","3","3","2","1","1","2","4","4","4"
"126","2","4","2","1","3","3","4","2","1","4","3","5","9"
"127","4","3","2","3","4","3","2","1","4","1","2","10","1"
"128","4","1","2","1","3","2","3","4","3","1","4","7","10"
"129","2","4","2","1","3","3","4","2","1","4","3","5","1"
"130","4","2","1","4","3","2","4","1","1","3","2","6","11"
"131","2","3","4","3","1","4","1","2","1","3","2","7","12"
"132","3","2","4","1","2","4","3","1","3","4","2","9","1"
"133","1","3","2","4","1","1","4","3","3","4","2","4","10"
"134","1","2","2","1","3","4","2","3","4","3","1","11","12"
"135","1","4","4","2","3","1","3","2","4","1","2","8","3"
"136","2","1","2","4","1","4","3","1","4","2","3","12","7"
"137","3","4","3","1","4","1","2","4","1","3","2","12","10"
"138","1","1","1","1","1","1","1","1","1","1","1","1","5"
"139","3","1","2","3","4","1","3","2","2","4","1","6","8"
"140","1","3","1","2","4","4","3","1","2","3","4","5","2"
"141","4","1","3","2","1","3","4","2","4","3","1","9","6"
"142","2","2","4","4","4","3","3","3","1","1","1","2","6"
"143","1","4","4","2","3","1","3","2","4","1","2","8","7"
"144","4","3","4","2","3","2","1","3","2","4","1","12","9"
