"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","1","2","2","2","2","1","2","1","2","1","1","1","2","1","2"
"2","2","1","2","1","2","2","2","2","1","1","1","1","2","2","1"
"3","2","2","1","1","2","2","1","1","1","2","1","2","2","1","2"
"4","1","1","1","2","2","1","1","2","2","2","1","2","2","2","1"
"5","2","2","1","2","2","1","2","2","1","2","2","1","1","1","1"
"6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"7","2","1","2","2","1","2","2","1","2","2","1","2","1","1","1"
"8","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1"
"9","1","1","1","2","1","2","2","2","1","1","2","2","2","1","2"
"10","2","1","2","1","1","1","1","2","2","2","2","1","2","1","2"
"11","2","1","2","2","2","1","1","1","1","1","2","2","1","2","2"
"12","1","2","2","1","1","1","2","2","1","2","1","2","1","2","2"
"13","1","2","2","1","2","2","1","2","2","1","2","2","1","1","1"
"14","1","1","1","1","2","2","2","1","2","2","2","1","1","2","2"
"15","2","2","1","2","1","2","1","2","2","1","1","1","1","2","2"
"16","1","2","2","2","1","2","1","1","1","2","2","1","2","2","1"
