"","A","B","C","D","E","F","G","H"
"1","2","1","2","3","1","2","3","1"
"2","1","2","2","3","3","1","1","2"
"3","1","3","1","3","2","2","1","3"
"4","1","3","3","3","3","3","3","1"
"5","1","1","2","1","3","3","2","3"
"6","2","1","3","2","3","2","1","2"
"7","1","3","3","1","1","2","2","2"
"8","2","2","3","1","2","3","1","1"
"9","2","3","2","1","2","1","3","2"
"10","1","2","3","2","1","1","3","3"
"11","2","2","1","3","1","3","2","2"
"12","1","2","2","2","2","2","2","1"
"13","1","1","1","2","2","3","3","2"
"14","2","3","1","2","3","1","2","1"
"15","2","3","2","2","1","3","1","3"
"16","2","2","1","1","3","2","3","3"
"17","2","1","3","3","2","1","2","3"
"18","1","1","1","1","1","1","1","1"
