"","A","B","C","D","E","F","G"
"1","1","2","3","1","2","3","4"
"2","2","3","1","2","3","1","4"
"3","1","2","1","3","3","2","3"
"4","1","3","3","2","1","2","6"
"5","3","2","2","1","3","1","6"
"6","2","3","2","1","1","3","3"
"7","3","1","3","2","2","1","3"
"8","3","3","1","1","2","2","2"
"9","1","1","1","1","1","1","1"
"10","2","2","3","3","1","1","2"
"11","1","1","2","2","3","3","2"
"12","3","2","1","2","1","3","5"
"13","2","2","2","2","2","2","1"
"14","3","1","2","3","1","2","4"
"15","1","3","2","3","2","1","5"
"16","2","1","1","3","2","3","6"
"17","3","3","3","3","3","3","1"
"18","2","1","3","1","3","2","5"
