"","A","B","C","D","E","F"
"1","2","3","4","5","1","2"
"2","1","3","5","2","4","3"
"3","1","5","4","3","2","5"
"4","1","1","1","1","1","1"
"5","3","3","3","3","3","1"
"6","1","4","2","5","3","4"
"7","5","4","3","2","1","5"
"8","4","4","4","4","4","1"
"9","4","1","3","5","2","3"
"10","5","3","1","4","2","4"
"11","2","4","1","3","5","3"
"12","2","5","3","1","4","4"
"13","1","2","3","4","5","2"
"14","3","1","4","2","5","4"
"15","4","5","1","2","3","2"
"16","2","1","5","4","3","5"
"17","5","5","5","5","5","1"
"18","3","4","5","1","2","2"
"19","4","3","2","1","5","5"
"20","5","2","4","1","3","3"
"21","5","1","2","3","4","2"
"22","2","2","2","2","2","1"
"23","3","5","2","4","1","3"
"24","4","2","5","3","1","4"
"25","3","2","1","5","4","5"
