"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","1","1","2","2","2","2","1","1","1","2","1","2","2","2","2","1","2","2","2"
"2","2","2","1","2","2","1","2","2","1","1","2","1","2","1","2","2","2","1","2"
"3","1","2","1","1","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1"
"4","1","1","2","1","1","1","2","2","2","1","1","2","1","1","1","2","1","2","2"
"5","1","1","2","2","2","2","2","2","2","1","1","1","2","1","2","2","1","1","2"
"6","2","1","1","1","1","2","2","1","1","1","1","2","1","2","1","1","2","2","2"
"7","1","1","2","1","1","2","1","2","2","2","2","2","2","1","2","2","1","2","1"
"8","1","1","2","1","2","1","2","1","1","1","1","1","1","2","2","1","1","2","1"
"9","2","1","1","1","1","2","1","2","2","2","1","1","1","1","1","1","2","2","1"
"10","1","1","2","1","2","2","1","1","2","1","2","1","1","1","1","2","1","1","1"
"11","1","2","2","2","2","1","2","2","2","1","2","1","1","2","1","1","1","2","2"
"12","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"13","1","1","2","2","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1"
"14","1","1","1","2","1","2","1","1","1","2","2","2","1","1","1","2","1","2","2"
"15","1","2","1","2","1","2","1","2","1","2","1","1","2","1","2","2","2","2","2"
"16","2","2","1","2","1","2","2","2","1","2","2","1","1","2","1","1","1","1","2"
"17","1","2","2","2","1","2","1","1","2","2","2","1","2","2","1","1","2","2","1"
"18","2","1","1","1","1","2","2","1","1","1","1","2","1","2","1","2","1","1","1"
"19","2","1","2","1","2","1","1","1","1","2","1","2","1","1","1","1","2","1","2"
"20","1","2","1","2","2","1","2","1","2","2","1","1","2","2","2","1","1","1","2"
"21","2","1","2","2","2","2","1","2","1","2","2","1","2","1","1","2","2","1","1"
"22","1","1","1","1","2","2","2","1","2","2","1","2","1","1","2","2","2","2","2"
"23","1","1","2","1","1","1","1","1","1","1","2","2","2","2","1","1","1","2","2"
