"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","2","3","3","1","2","2","3","1","2","3","1","2"
"2","2","1","3","1","3","2","3","2","1","3","3","3","1"
"3","1","3","2","2","1","3","3","2","1","3","2","1","3"
"4","3","2","1","1","3","2","2","1","3","3","2","1","3"
"5","3","3","3","2","2","2","1","1","1","1","3","2","3"
"6","3","1","2","1","2","3","2","3","1","2","2","2","1"
"7","1","3","2","1","3","2","1","3","2","3","1","2","2"
"8","1","1","1","3","3","3","2","2","2","1","3","2","3"
"9","2","1","3","3","2","1","1","3","2","3","2","1","3"
"10","2","2","2","1","1","1","3","3","3","1","3","2","3"
"11","1","2","3","2","3","1","3","1","2","2","2","2","1"
"12","3","1","2","2","3","1","1","2","3","2","3","1","2"
"13","2","3","1","2","3","1","2","3","1","2","1","3","3"
"14","1","1","1","2","2","2","3","3","3","1","2","3","2"
"15","1","2","3","1","2","3","1","2","3","2","1","3","3"
"16","3","2","1","3","2","1","3","2","1","3","1","2","2"
"17","1","3","2","3","2","1","2","1","3","3","3","3","1"
"18","2","2","2","3","3","3","1","1","1","1","2","3","2"
"19","1","1","1","1","1","1","1","1","1","1","1","1","1"
"20","3","3","3","1","1","1","2","2","2","1","2","3","2"
"21","3","3","3","3","3","3","3","3","3","1","1","1","1"
"22","2","2","2","2","2","2","2","2","2","1","1","1","1"
"23","2","3","1","3","1","2","1","2","3","2","2","2","1"
"24","2","1","3","2","1","3","2","1","3","3","1","2","2"
"25","3","1","2","3","1","2","3","1","2","2","1","3","3"
"26","2","3","1","1","2","3","3","1","2","2","3","1","2"
"27","3","2","1","2","1","3","1","3","2","3","3","3","1"
