"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","2","2","1","2","1","2","1","2","2","1","1","1","2","2","1","2","1","2","1","2","3"
"2","2","2","1","2","2","1","1","2","2","1","2","2","1","1","1","1","1","1","3","3","2"
"3","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","2","2","1","3","1","5"
"4","1","2","2","2","2","1","2","1","2","1","1","1","2","2","1","1","2","2","3","1","6"
"5","1","2","2","1","1","1","1","2","2","1","1","1","2","1","2","2","2","1","4","3","4"
"6","2","1","2","2","2","1","2","1","2","2","2","1","1","2","2","1","1","1","1","2","4"
"7","1","1","1","1","1","1","2","1","2","2","1","2","2","2","1","2","2","1","2","2","2"
"8","1","2","2","1","1","1","2","2","1","2","1","2","1","2","2","1","1","1","3","4","3"
"9","1","2","2","2","1","2","1","1","1","2","2","1","2","2","1","1","1","1","2","3","8"
"10","2","1","2","1","1","1","2","2","1","1","2","2","2","2","1","1","2","2","1","3","5"
"11","1","1","1","2","2","1","1","2","2","2","1","2","2","1","2","1","2","2","1","4","8"
"12","2","1","2","2","2","1","1","1","1","1","2","2","2","1","2","2","2","1","2","1","3"
"13","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"14","2","1","2","1","2","2","2","2","1","1","1","1","1","1","1","2","2","1","3","2","8"
"15","2","2","1","2","1","2","2","2","1","2","1","2","1","1","1","1","2","2","2","1","4"
"16","1","2","2","2","2","1","1","1","1","2","1","2","1","1","1","2","1","2","4","2","5"
"17","2","2","1","1","1","1","2","1","2","1","2","2","1","2","2","2","1","2","4","1","8"
"18","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","4","4","1"
"19","2","2","1","1","2","2","2","1","2","1","1","1","2","1","2","1","1","1","2","4","5"
"20","1","2","2","2","1","2","2","1","2","1","2","2","1","1","1","2","2","1","1","4","7"
"21","2","1","2","2","1","2","1","1","1","1","1","1","1","2","2","1","2","2","4","4","2"
"22","1","1","1","1","2","2","1","1","1","1","2","2","2","2","1","2","1","2","3","4","4"
"23","2","1","2","1","2","2","1","2","2","2","1","2","2","2","1","1","1","1","4","1","7"
"24","1","2","2","1","2","2","2","2","1","2","2","1","2","1","2","2","1","2","1","1","2"
"25","2","2","1","1","2","2","1","1","1","2","1","2","1","2","2","2","2","1","1","3","6"
"26","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","3","3","1"
"27","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","1"
"28","2","2","1","1","1","1","1","1","1","2","2","1","2","1","2","1","2","2","3","2","7"
"29","1","1","1","1","2","2","2","1","2","2","2","1","1","1","1","1","2","2","4","3","3"
"30","1","1","1","2","2","1","2","2","1","1","1","1","1","2","2","2","1","2","2","3","7"
"31","2","1","2","1","1","1","1","2","2","2","2","1","1","1","1","2","1","2","2","4","6"
"32","1","1","1","2","1","2","2","2","1","1","2","2","2","1","2","1","1","1","4","2","6"
