"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","2","2","2","2","1","4","2","3","1","3","1","5"
"2","1","1","1","2","1","2","3","1","4","2","4","2","5"
"3","2","2","1","1","2","2","2","4","1","3","1","3","5"
"4","2","2","1","2","2","1","4","4","4","4","4","4","1"
"5","2","1","2","2","1","2","4","4","2","2","1","1","2"
"6","1","1","1","1","1","1","2","2","4","4","3","3","2"
"7","1","2","2","1","1","1","3","4","1","2","3","4","3"
"8","1","2","2","1","2","2","1","1","3","3","4","4","2"
"9","1","1","1","2","1","2","4","2","1","3","2","4","6"
"10","1","1","1","1","2","2","3","4","3","4","2","1","4"
"11","2","2","1","2","2","1","3","3","1","1","2","2","2"
"12","1","2","2","1","1","1","4","3","4","3","1","2","4"
"13","2","2","1","1","2","2","1","3","4","2","3","1","6"
"14","2","2","1","1","1","1","3","2","2","3","4","1","7"
"15","1","2","2","2","1","2","2","3","1","4","4","1","8"
"16","2","1","2","2","1","2","3","3","3","3","3","3","1"
"17","2","1","2","2","2","1","2","1","4","3","2","1","3"
"18","2","2","1","2","1","2","2","1","2","1","3","4","4"
"19","1","1","1","2","2","1","2","3","3","2","1","4","7"
"20","1","2","2","1","2","2","2","2","2","2","2","2","1"
"21","2","1","2","1","2","2","4","1","1","4","3","2","7"
"22","2","2","1","1","1","1","4","1","3","2","2","3","8"
"23","2","2","1","2","1","2","1","2","3","4","1","2","3"
"24","1","2","2","2","1","2","1","4","4","1","2","3","7"
"25","1","1","1","1","1","1","1","1","1","1","1","1","1"
"26","2","1","2","2","2","1","1","2","1","2","4","3","4"
"27","2","1","2","1","1","1","2","4","3","1","4","2","6"
"28","2","1","2","1","1","1","1","3","2","4","2","4","5"
"29","1","1","1","1","2","2","4","3","2","1","4","3","3"
"30","2","1","2","1","2","2","3","2","4","1","1","4","8"
"31","1","2","2","2","2","1","3","1","2","4","1","3","6"
"32","1","1","1","2","2","1","1","4","2","3","3","2","8"
