"","A","B","C","D","E","F","G"
"1","2","3","3","1","3","1","4"
"2","2","1","2","1","2","5","2"
"3","2","3","1","1","6","4","5"
"4","2","3","2","3","6","6","6"
"5","1","2","2","1","5","3","4"
"6","1","1","1","3","3","4","3"
"7","2","1","1","3","2","3","3"
"8","1","1","2","2","4","4","4"
"9","2","2","3","2","3","3","6"
"10","1","3","1","2","3","5","1"
"11","1","3","1","2","2","6","4"
"12","2","1","3","2","5","5","5"
"13","1","1","1","1","5","2","6"
"14","2","2","1","3","5","6","1"
"15","1","1","1","1","1","1","6"
"16","1","3","3","3","5","4","2"
"17","1","3","2","3","4","5","6"
"18","1","3","3","3","1","3","2"
"19","1","2","3","1","6","5","3"
"20","1","3","3","1","2","2","1"
"21","2","2","1","3","1","5","4"
"22","2","3","2","2","5","1","3"
"23","2","2","1","2","4","2","2"
"24","2","3","1","1","4","3","5"
"25","1","1","3","2","1","6","5"
"26","2","1","3","3","6","2","4"
"27","2","1","3","3","4","1","1"
"28","1","1","2","2","6","3","1"
"29","2","2","3","2","2","4","6"
"30","2","1","2","1","3","6","2"
"31","2","2","2","1","1","4","1"
"32","1","2","2","3","2","1","5"
"33","1","2","2","3","3","2","5"
"34","1","2","1","2","6","1","2"
"35","1","2","3","1","4","6","3"
"36","2","3","2","2","1","2","3"
