"","A","B","C","D","E","F","G","H","J","K","L"
"1","2","1","3","1","2","3","3","1","1","6","3"
"2","1","2","1","1","1","2","3","1","2","5","4"
"3","2","1","3","3","1","1","2","3","1","5","2"
"4","1","3","3","2","2","1","3","3","1","4","4"
"5","2","1","2","2","2","1","3","1","3","3","5"
"6","2","1","3","3","1","2","3","2","3","1","6"
"7","1","1","1","1","1","1","1","1","1","1","1"
"8","1","3","3","2","3","2","2","1","3","1","3"
"9","1","3","2","1","2","3","3","3","2","1","2"
"10","1","3","3","3","3","3","1","1","1","5","5"
"11","2","2","3","1","2","1","1","1","2","2","6"
"12","2","3","1","2","1","3","1","3","1","3","6"
"13","2","1","2","2","3","3","3","2","2","5","1"
"14","1","2","2","3","3","2","3","3","1","6","6"
"15","1","1","2","1","1","2","1","3","3","4","5"
"16","2","3","1","1","3","2","3","2","1","2","5"
"17","2","2","2","2","3","1","1","2","1","1","4"
"18","2","2","1","3","2","3","2","3","2","1","5"
"19","1","1","1","3","2","3","1","2","3","6","4"
"20","1","1","1","2","2","2","2","2","1","2","2"
"21","2","2","1","2","2","2","1","3","3","5","3"
"22","1","3","2","1","2","1","2","2","3","5","6"
"23","1","1","2","3","3","1","1","3","2","2","3"
"24","2","3","1","1","3","1","2","3","3","6","1"
"25","1","2","2","1","1","3","2","2","1","3","3"
"26","2","1","3","1","3","2","2","3","2","3","4"
"27","2","3","1","3","1","1","3","2","2","4","3"
"28","1","1","1","2","3","3","2","1","2","4","6"
"29","1","2","3","2","1","1","2","2","2","6","5"
"30","1","2","1","3","3","1","3","1","3","3","2"
"31","1","3","3","3","2","2","1","2","2","3","1"
"32","2","2","2","3","2","2","2","1","1","4","1"
"33","2","3","2","3","1","3","2","1","3","2","4"
"34","1","2","3","2","1","3","3","3","3","2","1"
"35","2","3","2","2","1","2","1","1","2","6","2"
"36","2","2","3","1","3","3","1","2","3","4","2"
