"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","1","2","1","2","1","1","2","2","1","1","2","2","1","1","3","3","1","2"
"2","1","1","2","2","2","2","1","1","1","2","3","3","2","2","2","2","3","3","2"
"3","2","1","1","2","1","1","2","1","2","2","2","3","2","3","1","3","1","3","6"
"4","1","2","1","2","2","1","1","2","2","2","1","2","2","1","3","1","1","3","1"
"5","2","2","2","1","2","1","2","1","1","2","3","2","3","2","1","3","1","3","5"
"6","2","1","1","2","2","2","2","2","1","1","1","3","3","1","3","2","2","3","5"
"7","2","2","1","1","1","2","1","2","1","2","1","1","2","2","2","2","1","1","6"
"8","2","2","1","1","1","2","1","2","1","2","2","2","3","3","3","3","2","2","2"
"9","2","1","2","1","2","1","1","2","2","1","3","1","1","3","3","2","2","3","6"
"10","1","1","2","1","1","2","2","2","2","2","3","1","3","1","1","2","1","2","1"
"11","2","2","2","1","2","1","2","1","1","2","2","1","2","1","3","2","3","2","3"
"12","1","2","1","1","2","2","2","1","2","1","1","3","1","3","1","2","1","2","2"
"13","1","1","2","1","1","2","2","2","2","2","1","2","1","2","2","3","2","3","3"
"14","2","2","2","1","2","1","2","1","1","2","1","3","1","3","2","1","2","1","1"
"15","2","2","2","2","1","2","1","1","2","1","1","1","3","3","1","1","3","3","3"
"16","1","2","1","2","2","1","1","2","2","2","2","3","3","2","1","2","2","1","3"
"17","1","2","1","1","2","2","2","1","2","1","3","2","3","2","3","1","3","1","6"
"18","2","1","1","2","1","1","2","1","2","2","1","2","1","2","3","2","3","2","4"
"19","2","2","2","2","1","2","1","1","2","1","2","2","1","1","2","2","1","1","5"
"20","1","2","1","2","2","1","1","2","2","2","3","1","1","3","2","3","3","2","5"
"21","2","2","2","2","1","2","1","1","2","1","3","3","2","2","3","3","2","2","1"
"22","1","1","1","1","1","1","1","1","1","1","3","3","1","1","3","3","1","1","3"
"23","1","1","2","1","1","2","2","2","2","2","2","3","2","3","3","1","3","1","5"
"24","2","1","1","2","2","2","2","2","1","1","3","2","2","3","2","1","1","2","3"
"25","1","1","2","2","2","2","1","1","1","2","1","1","3","3","3","3","1","1","4"
"26","1","2","1","1","2","2","2","1","2","1","2","1","2","1","2","3","2","3","4"
"27","1","2","2","2","1","1","2","2","1","1","1","3","3","1","2","3","3","2","6"
"28","1","1","1","1","1","1","1","1","1","1","2","2","3","3","2","2","3","3","1"
"29","2","1","1","2","2","2","2","2","1","1","2","1","1","2","1","3","3","1","1"
"30","1","1","2","2","2","2","1","1","1","2","2","2","1","1","1","1","2","2","6"
"31","1","2","2","2","1","1","2","2","1","1","3","2","2","3","1","2","2","1","4"
"32","2","1","1","2","1","1","2","1","2","2","3","1","3","1","2","1","2","1","2"
"33","1","2","2","2","1","1","2","2","1","1","2","1","1","2","3","1","1","3","2"
"34","2","2","1","1","1","2","1","2","1","2","3","3","1","1","1","1","3","3","4"
"35","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","2","2","5"
"36","2","1","2","1","2","1","1","2","2","1","2","3","3","2","2","1","1","2","4"
