"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"1","1","1","1","1","1","2","2","2","2","1","2","1","2","3","2","2"
"2","2","1","2","2","1","1","1","1","2","1","2","1","1","3","3","6"
"3","1","2","1","2","2","2","1","1","1","1","1","1","1","1","2","6"
"4","1","1","1","1","1","2","2","2","2","1","1","2","1","1","3","4"
"5","1","2","1","2","2","2","1","1","1","1","2","2","1","3","1","4"
"6","2","2","1","1","1","2","1","1","2","2","1","2","2","3","2","1"
"7","2","2","1","1","1","2","1","1","2","1","2","1","2","1","3","3"
"8","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1"
"9","2","2","1","2","1","1","2","2","1","1","2","2","2","2","3","2"
"10","2","1","2","1","2","2","1","2","1","2","1","1","2","1","3","4"
"11","1","2","2","1","1","1","1","2","1","2","2","2","1","1","3","3"
"12","2","1","1","1","2","1","2","1","1","1","1","1","1","2","3","1"
"13","1","2","2","1","1","1","1","2","1","1","1","2","1","3","2","1"
"14","1","1","1","1","1","2","2","2","2","2","1","2","1","2","1","6"
"15","1","1","2","2","1","2","2","1","1","2","1","1","2","3","3","5"
"16","2","1","2","2","1","1","1","1","2","1","1","2","1","1","1","2"
"17","1","1","1","2","2","1","1","2","2","2","1","1","2","3","1","3"
"18","1","1","1","2","2","1","1","2","2","2","2","1","1","2","3","1"
"19","2","1","2","1","2","2","1","2","1","2","2","1","1","3","2","2"
"20","1","2","2","1","2","1","2","1","2","2","1","1","1","1","1","2"
"21","2","2","1","2","1","1","2","2","1","2","1","1","2","1","2","6"
"22","2","1","1","1","2","1","2","1","1","2","2","2","1","1","2","5"
"23","1","1","2","2","1","2","2","1","1","2","2","2","1","2","2","3"
"24","1","2","2","1","2","1","2","1","2","1","2","1","2","2","2","4"
"25","2","1","2","1","2","2","1","2","1","1","2","2","2","2","1","6"
"26","2","1","1","1","2","1","2","1","1","1","1","2","2","3","1","3"
"27","2","2","2","2","2","2","2","2","2","1","1","1","1","2","2","3"
"28","1","1","1","2","2","1","1","2","2","1","2","2","2","1","2","5"
"29","1","1","2","2","1","2","2","1","1","1","2","1","2","1","1","1"
"30","2","2","1","2","1","1","2","2","1","2","2","1","1","3","1","4"
"31","2","1","2","2","1","1","1","1","2","2","1","2","2","2","2","4"
"32","1","2","2","1","1","1","1","2","1","1","1","1","2","2","1","5"
"33","2","2","1","1","1","2","1","1","2","2","2","1","1","2","1","5"
"34","1","2","1","2","2","2","1","1","1","2","1","2","2","2","3","2"
"35","2","2","2","2","2","2","2","2","2","1","1","2","1","3","3","5"
"36","1","2","2","1","2","1","2","1","2","2","2","2","2","3","3","6"
