"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"1","2","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","2","2","2","1"
"2","2","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","3","1","2","2"
"3","1","1","2","2","2","1","1","2","1","2","1","2","1","1","1","1","2","2","2","1"
"4","2","1","2","1","1","1","1","2","2","2","1","2","2","2","2","1","3","3","3","1"
"5","2","1","2","2","2","2","1","1","1","2","2","1","2","2","1","2","3","3","3","1"
"6","1","2","1","2","1","2","1","2","1","2","2","2","2","1","2","1","3","2","1","3"
"7","2","2","1","1","2","2","2","2","2","2","1","2","1","2","1","1","3","2","1","3"
"8","1","2","1","1","2","1","2","1","2","1","1","2","1","1","2","1","3","3","3","1"
"9","2","2","1","1","1","1","1","1","2","2","2","2","2","1","1","2","1","3","2","3"
"10","1","1","2","2","2","2","2","2","1","1","1","2","2","2","2","1","1","3","2","3"
"11","1","2","2","2","1","1","1","1","2","2","1","2","1","1","1","2","3","1","2","2"
"12","1","1","1","2","2","2","2","1","2","2","2","2","2","1","2","2","1","2","3","2"
"13","2","2","1","2","2","1","2","1","1","2","1","1","1","2","2","2","2","2","2","1"
"14","2","1","2","1","1","1","2","1","1","1","2","2","1","1","2","1","2","3","1","2"
"15","2","1","2","2","1","1","1","1","1","1","1","1","2","1","2","2","3","2","1","3"
"16","1","1","2","1","2","2","1","1","2","2","2","1","1","1","2","1","2","1","3","3"
"17","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","3","1","2","2"
"18","1","2","1","2","2","1","1","1","1","1","2","2","2","2","1","1","2","3","1","2"
"19","1","2","2","1","1","1","2","2","1","2","2","1","1","2","2","2","1","3","2","3"
"20","2","1","1","2","1","1","2","2","2","1","1","2","2","2","1","2","2","1","3","3"
"21","1","2","1","2","1","2","2","2","1","1","2","1","1","1","1","2","3","3","3","1"
"22","1","2","2","1","2","2","1","2","2","2","1","1","2","2","1","2","2","3","1","2"
"23","1","1","2","1","2","1","2","1","2","1","2","1","1","2","1","2","3","2","1","3"
"24","1","1","1","1","1","2","1","1","1","1","1","2","1","2","1","2","1","1","1","1"
"25","1","1","1","1","1","1","2","1","1","2","1","1","2","2","1","1","1","2","3","2"
"26","2","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","1","2","3","2"
"27","1","1","2","1","1","2","2","2","2","1","2","2","2","1","1","2","2","2","2","1"
"28","2","2","2","2","1","2","2","1","1","2","2","2","1","2","1","1","2","1","3","3"
"29","2","1","1","1","2","2","1","2","1","1","2","2","1","2","2","2","3","1","2","2"
"30","2","1","1","2","2","2","1","1","2","1","1","1","1","1","1","1","1","3","2","3"
"31","2","2","2","2","2","1","2","2","2","1","2","1","2","1","1","1","1","1","1","1"
"32","2","1","1","2","1","2","2","2","2","2","1","1","1","1","2","2","2","3","1","2"
"33","1","1","1","2","1","1","1","2","2","2","2","1","1","2","2","1","1","1","1","1"
"34","2","2","2","1","2","2","2","1","1","2","1","2","2","1","2","2","1","1","1","1"
"35","2","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","3","2"
"36","1","2","1","1","2","1","1","2","1","1","1","1","2","1","2","2","2","1","3","3"
