"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5"
"2","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","3","4"
"3","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","1","2","2"
"4","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","6"
"5","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","2","2","1","3","1"
"6","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","1","1","1","4"
"7","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","3","6"
"8","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","3","5"
"9","1","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","1","1","6"
"10","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","1"
"11","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","1","2","4"
"12","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","3"
"13","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","3","1"
"14","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","1"
"15","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","1","4"
"16","1","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","2","2","3","5"
"17","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","1","1","3"
"18","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","2","6"
"19","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","3","4"
"20","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","2","6"
"21","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","1","2"
"22","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","3","2"
"23","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","3","6"
"24","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","3","3"
"25","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","3","2"
"26","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","2","4"
"27","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","2","2","1","1","3"
"28","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","1","1"
"29","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","3"
"30","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","1","1"
"31","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","2","5"
"32","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","1","2"
"33","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","1","5"
"34","2","1","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","1","2","2"
"35","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","3","3"
"36","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","2","5"
