"","A","B","C","D","E","F","G","H","J"
"1","1","2","1","2","2","1","1","5","6"
"2","1","1","3","2","1","1","2","4","1"
"3","2","1","1","3","3","1","1","4","4"
"4","2","1","2","1","3","1","3","5","2"
"5","1","1","3","1","3","3","1","2","5"
"6","2","1","3","3","1","1","3","1","5"
"7","1","2","2","2","3","2","3","3","5"
"8","1","1","1","1","1","2","2","5","5"
"9","2","1","1","2","2","3","3","2","2"
"10","1","2","1","3","3","2","2","1","2"
"11","2","2","3","2","1","1","2","3","2"
"12","1","2","1","1","1","3","3","3","4"
"13","2","2","2","3","2","3","2","4","5"
"14","1","2","3","1","2","2","1","4","2"
"15","1","1","2","2","3","2","3","4","6"
"16","1","2","3","3","1","1","3","2","6"
"17","2","2","2","1","3","1","3","6","1"
"18","2","2","3","1","3","3","1","1","6"
"19","1","1","2","1","2","1","2","2","4"
"20","2","2","1","2","2","1","1","6","5"
"21","1","1","1","2","2","3","3","1","1"
"22","1","2","3","2","3","3","2","6","4"
"23","2","1","2","3","2","3","2","3","6"
"24","2","1","3","2","3","3","2","5","3"
"25","2","2","3","3","2","2","3","5","4"
"26","2","2","1","3","3","2","2","2","1"
"27","2","2","1","1","1","3","3","4","3"
"28","1","1","1","3","3","1","1","3","3"
"29","1","1","3","3","2","2","3","6","3"
"30","2","1","1","1","1","2","2","6","6"
"31","1","1","2","3","1","3","1","6","2"
"32","1","2","2","1","2","1","2","1","3"
"33","2","2","2","2","1","2","1","2","3"
"34","1","2","2","3","1","3","1","5","1"
"35","2","1","2","2","1","2","1","1","4"
"36","2","1","3","1","2","2","1","3","1"
