"","A","B","C","D","E","F","G","H"
"1","1","1","1","1","3","1","4","2"
"2","2","1","1","1","3","3","4","5"
"3","2","2","1","2","2","6","3","6"
"4","1","2","2","1","2","1","2","4"
"5","1","1","1","2","1","3","5","4"
"6","2","1","2","1","1","1","1","6"
"7","1","1","2","2","2","4","4","6"
"8","2","1","2","1","1","4","3","4"
"9","1","2","1","1","2","4","5","1"
"10","2","2","1","1","1","5","6","3"
"11","2","2","2","2","3","1","5","3"
"12","2","1","2","1","2","3","3","3"
"13","1","1","1","2","3","5","3","1"
"14","2","1","2","1","3","6","2","1"
"15","2","2","2","2","1","2","4","1"
"16","1","2","1","2","1","1","3","5"
"17","1","2","2","1","3","5","5","6"
"18","1","2","2","2","2","3","6","2"
"19","1","2","2","2","1","6","4","3"
"20","1","2","2","1","1","3","1","1"
"21","2","2","1","2","3","3","2","6"
"22","1","2","2","1","3","2","3","2"
"23","2","1","2","2","2","2","5","5"
"24","1","1","2","2","3","6","6","4"
"25","2","1","2","2","2","5","1","2"
"26","1","1","2","2","1","5","2","5"
"27","1","1","1","1","1","2","6","6"
"28","1","1","1","1","2","2","2","3"
"29","2","2","1","2","1","4","2","2"
"30","2","1","1","1","1","6","5","2"
"31","2","2","1","1","2","5","4","4"
"32","2","1","1","2","2","1","6","1"
"33","1","2","1","1","2","6","1","5"
"34","2","2","2","1","3","4","6","5"
"35","1","1","1","2","3","4","1","3"
"36","2","2","1","2","3","2","1","4"
