"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","16"
"2","2","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","18"
"3","2","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","5"
"4","1","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","10"
"5","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","9"
"6","2","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","2"
"7","1","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","8"
"8","1","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","20"
"9","2","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","8"
"10","1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","11"
"11","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","13"
"12","2","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","12"
"13","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","19"
"14","2","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","10"
"15","2","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","17"
"16","1","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","7"
"17","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"18","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","9"
"19","2","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","7"
"20","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","15"
"21","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","16"
"22","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","1","15"
"23","1","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","6"
"24","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","13"
"25","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","4"
"26","2","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","6"
"27","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"28","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","14"
"29","1","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","2","17"
"30","1","1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","12"
"31","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","19"
"32","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","3"
"33","2","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","20"
"34","1","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2"
"35","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","3"
"36","1","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","5"
"37","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","14"
"38","1","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","18"
"39","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","11"
"40","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","4"
