"","A","B","C","D","E","F","G","H","J","K"
"1","2","2","3","1","2","1","1","3","3","4"
"2","2","3","1","3","2","3","1","3","2","9"
"3","2","3","2","2","1","1","2","3","1","6"
"4","1","1","2","3","1","3","3","2","2","4"
"5","3","3","1","2","3","2","2","1","1","4"
"6","3","2","2","3","2","3","2","3","1","14"
"7","2","1","2","1","2","3","3","2","1","11"
"8","2","3","1","1","3","3","2","2","2","10"
"9","1","3","2","2","2","3","3","1","3","13"
"10","3","1","2","1","3","1","2","1","3","9"
"11","1","2","1","2","3","3","3","3","1","7"
"12","3","1","1","2","2","3","1","1","2","8"
"13","2","1","3","3","3","1","1","2","1","13"
"14","2","1","1","3","3","2","3","3","3","15"
"15","1","1","1","3","2","1","2","3","1","2"
"16","2","1","3","2","3","3","2","1","1","12"
"17","2","2","2","1","3","2","3","1","2","2"
"18","1","3","2","1","2","2","1","3","3","12"
"19","3","3","3","3","3","3","3","3","3","1"
"20","1","1","2","2","3","2","1","3","2","3"
"21","1","2","3","3","2","2","1","1","1","10"
"22","2","2","3","3","1","3","2","1","3","3"
"23","1","2","1","1","3","3","1","2","3","6"
"24","2","1","1","2","1","2","1","2","3","14"
"25","2","3","2","3","1","1","1","1","2","7"
"26","2","2","1","2","2","1","3","1","3","5"
"27","1","2","2","3","3","1","2","2","3","8"
"28","2","2","2","2","2","2","2","2","2","1"
"29","1","3","1","3","1","2","2","1","3","11"
"30","3","3","3","2","1","3","1","2","3","2"
"31","3","2","1","3","1","1","3","2","2","12"
"32","1","1","1","1","1","1","1","1","1","1"
"33","3","3","1","1","2","1","3","2","1","3"
"34","3","1","2","2","1","1","3","3","3","10"
"35","1","1","3","1","1","3","2","3","2","5"
"36","3","2","2","1","1","3","1","1","1","15"
"37","3","1","3","1","2","2","2","2","3","7"
"38","1","3","3","2","2","1","2","2","2","15"
"39","1","3","3","1","3","1","3","1","2","14"
"40","3","2","3","2","3","1","1","3","2","11"
"41","3","1","3","3","2","2","3","1","2","6"
"42","3","3","2","3","3","2","1","2","1","5"
"43","1","2","3","2","1","2","3","2","1","9"
"44","3","2","1","1","1","2","2","3","2","13"
"45","2","3","3","1","1","2","3","3","1","8"
