"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","1","1","1","2","4","3","2","1","4","2","3","3","1","4","6"
"2","1","1","1","4","3","2","3","4","3","2","1","4","1","2","10"
"3","2","1","2","2","1","1","2","4","3","1","4","3","4","2","11"
"4","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"5","2","1","2","3","3","1","1","1","2","2","2","4","4","4","2"
"6","2","2","1","2","3","3","1","4","2","4","1","3","2","1","8"
"7","2","1","2","4","2","4","3","1","1","2","4","3","2","1","5"
"8","2","2","1","3","1","2","3","4","1","3","2","2","4","1","6"
"9","2","1","2","1","4","4","2","3","1","3","2","4","1","2","8"
"10","1","2","2","4","1","1","3","2","4","2","3","1","4","3","8"
"11","1","2","2","4","1","2","1","3","2","3","4","3","1","4","7"
"12","2","1","2","2","1","2","4","1","4","3","1","4","2","3","12"
"13","2","2","1","4","4","1","1","1","3","3","3","2","2","2","3"
"14","1","1","1","2","4","2","1","3","3","4","2","1","4","3","5"
"15","1","2","2","2","2","3","3","3","1","1","1","4","4","4","3"
"16","1","2","2","1","3","1","2","4","4","3","1","2","3","4","5"
"17","2","2","1","2","3","4","3","1","4","1","2","1","3","2","7"
"18","1","2","2","3","4","4","3","1","2","4","1","2","1","3","11"
"19","1","2","2","3","4","3","1","4","1","2","4","1","3","2","12"
"20","1","2","2","1","3","2","4","1","1","4","3","3","4","2","4"
"21","1","2","2","3","4","1","4","3","4","1","2","3","2","1","10"
"22","1","2","2","4","1","3","2","1","3","4","2","4","3","1","9"
"23","1","1","1","2","4","1","3","2","2","3","4","4","3","1","4"
"24","1","1","1","3","2","4","1","2","4","3","1","3","4","2","9"
"25","1","1","1","1","1","4","4","4","2","2","2","3","3","3","3"
"26","2","1","2","1","4","2","3","4","2","1","3","1","2","4","9"
"27","2","2","1","4","4","4","4","4","4","4","4","4","4","4","1"
"28","2","1","2","3","3","3","3","3","3","3","3","3","3","3","1"
"29","2","2","1","1","2","3","2","1","2","3","4","1","4","3","10"
"30","2","2","1","3","1","4","2","3","3","2","1","1","2","4","4"
"31","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"32","1","1","1","3","2","1","2","4","1","4","3","4","2","3","7"
"33","1","2","2","2","2","4","4","4","3","3","3","1","1","1","2"
"34","1","1","1","4","3","4","2","3","2","1","3","2","4","1","12"
"35","2","1","2","2","1","4","1","2","1","4","3","2","3","4","10"
"36","2","2","1","1","2","2","1","3","4","2","3","4","3","1","11"
"37","2","1","2","1","4","3","4","2","3","2","1","2","4","1","7"
"38","2","1","2","3","3","2","2","2","4","4","4","1","1","1","3"
"39","2","2","1","1","2","1","3","2","3","4","2","3","1","4","12"
"40","1","2","2","1","3","4","1","2","3","1","4","4","2","3","6"
"41","2","2","1","4","4","2","2","2","1","1","1","3","3","3","2"
"42","2","1","2","4","2","1","4","3","2","4","1","1","3","2","6"
"43","2","2","1","2","3","1","4","3","1","2","4","2","1","3","9"
"44","1","1","1","3","2","2","4","1","3","1","4","2","3","4","8"
"45","2","2","1","3","1","3","4","2","2","1","3","4","1","2","5"
"46","1","1","1","4","3","3","4","2","1","3","2","1","2","4","11"
"47","2","1","2","4","2","3","1","4","4","1","2","2","1","3","4"
"48","1","1","1","1","1","3","3","3","4","4","4","2","2","2","2"
