"","A","B","C","D","E","F","G","H"
"1","6","3","7","4","1","5","2","5"
"2","2","5","1","4","7","3","6","4"
"3","3","2","1","7","6","5","4","7"
"4","6","4","2","7","5","3","1","6"
"5","2","6","3","7","4","1","5","5"
"6","4","2","7","5","3","1","6","6"
"7","1","5","2","6","3","7","4","5"
"8","5","2","6","3","7","4","1","5"
"9","3","5","7","2","4","6","1","3"
"10","4","7","3","6","2","5","1","4"
"11","1","6","4","2","7","5","3","6"
"12","5","1","4","7","3","6","2","4"
"13","1","7","6","5","4","3","2","7"
"14","5","4","3","2","1","7","6","7"
"15","5","7","2","4","6","1","3","3"
"16","6","2","5","1","4","7","3","4"
"17","1","1","1","1","1","1","1","1"
"18","3","4","5","6","7","1","2","2"
"19","2","4","6","1","3","5","7","3"
"20","2","2","2","2","2","2","2","1"
"21","5","3","1","6","4","2","7","6"
"22","3","6","2","5","1","4","7","4"
"23","2","7","5","3","1","6","4","6"
"24","7","3","6","2","5","1","4","4"
"25","4","3","2","1","7","6","5","7"
"26","7","4","1","5","2","6","3","5"
"27","7","2","4","6","1","3","5","3"
"28","7","5","3","1","6","4","2","6"
"29","1","2","3","4","5","6","7","2"
"30","5","6","7","1","2","3","4","2"
"31","4","1","5","2","6","3","7","5"
"32","7","1","2","3","4","5","6","2"
"33","4","6","1","3","5","7","2","3"
"34","7","7","7","7","7","7","7","1"
"35","3","3","3","3","3","3","3","1"
"36","2","3","4","5","6","7","1","2"
"37","5","5","5","5","5","5","5","1"
"38","4","4","4","4","4","4","4","1"
"39","1","3","5","7","2","4","6","3"
"40","6","6","6","6","6","6","6","1"
"41","2","1","7","6","5","4","3","7"
"42","7","6","5","4","3","2","1","7"
"43","4","5","6","7","1","2","3","2"
"44","3","7","4","1","5","2","6","5"
"45","6","1","3","5","7","2","4","3"
"46","1","4","7","3","6","2","5","4"
"47","6","7","1","2","3","4","5","2"
"48","6","5","4","3","2","1","7","7"
"49","3","1","6","4","2","7","5","6"
