"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"1","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","1","1","2","2","1","1","2","1","1","2","1","1","2","2","1","1","2","1","1","1","2","1","2","1","1","2","2","1","1","1","1","2","2","1","2","2"
"2","2","1","2","2","2","2","2","1","2","1","2","2","2","1","2","2","1","2","1","2","2","1","2","1","1","1","1","1","1","2","2","2","1","1","1","1","2","2","1","2","2","1","1","2","1","1","2","2","1","1","1"
"3","2","1","1","2","2","2","1","1","1","1","2","2","1","1","2","2","1","1","1","2","1","1","1","2","1","2","2","2","1","1","2","2","2","1","2","2","2","1","1","1","1","2","2","1","2","1","1","2","2","2","2"
"4","1","2","1","1","1","2","1","2","2","1","2","2","1","1","2","1","1","2","1","2","2","2","1","2","2","2","2","1","1","1","1","1","1","2","2","2","1","2","1","2","1","1","1","2","2","2","2","2","2","1","1"
"5","1","1","1","1","2","1","2","1","2","1","2","2","2","2","2","1","2","2","2","2","2","1","1","1","1","2","1","2","1","2","1","2","2","2","2","2","1","1","2","2","1","1","1","1","1","2","1","1","1","2","2"
"6","1","1","2","1","1","2","2","2","2","1","1","2","1","2","2","1","2","2","2","1","2","2","1","1","1","1","2","1","1","1","2","1","2","1","2","1","2","2","2","1","2","2","2","1","2","1","1","2","1","2","1"
"7","1","2","2","1","1","2","2","1","1","2","2","2","1","1","1","2","2","2","2","1","1","1","2","2","2","2","1","1","1","2","2","1","1","1","2","2","2","2","1","1","2","1","1","1","1","2","1","1","2","2","2"
"8","1","1","2","2","1","2","1","2","2","1","2","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","2","1","1","2","1","2","1","1","2","2","2","2"
"9","2","1","1","1","1","1","1","2","2","2","2","2","2","1","2","2","2","1","1","2","2","2","2","1","2","2","2","2","2","1","2","1","1","1","1","1","2","2","2","1","1","1","2","1","1","2","1","1","1","1","2"
"10","2","1","2","2","1","1","1","2","1","1","1","2","1","2","2","2","2","1","2","1","2","2","1","1","2","2","1","2","1","2","2","2","1","2","2","2","1","1","1","1","2","1","2","2","1","1","2","1","2","1","1"
"11","1","1","2","1","2","1","1","1","1","1","1","1","2","1","2","2","1","2","2","1","2","2","2","2","2","1","2","2","2","1","2","2","2","1","2","1","1","2","1","2","1","2","1","2","1","2","1","1","2","2","1"
"12","1","2","2","2","2","1","1","2","1","1","2","2","2","1","1","1","1","1","1","1","2","2","2","1","1","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","2","1","1","1","2","2","2","2","2","2"
"13","2","2","1","2","2","1","2","1","1","1","2","1","1","2","2","1","2","2","2","1","2","1","1","2","1","2","2","1","2","2","2","1","1","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","2"
"14","1","1","1","1","1","2","1","1","1","2","1","2","2","2","1","2","1","1","1","1","2","1","1","2","1","2","1","2","2","2","2","1","2","1","1","2","1","2","2","2","2","1","2","2","2","2","2","2","1","2","1"
"15","1","1","1","1","1","1","1","2","1","2","1","1","2","2","2","2","2","2","1","2","2","1","2","2","1","1","2","1","1","2","1","2","2","2","1","2","2","2","1","1","2","2","1","1","2","1","2","1","2","1","2"
"16","2","1","1","1","2","2","2","2","2","1","2","1","1","2","1","2","1","1","2","1","2","2","2","2","1","1","1","1","2","1","2","2","1","2","1","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","1"
"17","1","2","2","2","1","1","2","1","2","2","1","2","2","1","2","2","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","2","1","1","1","1","1","1","2","1","1","2","1","1","2","1","2","2","2","2","1"
"18","2","1","2","2","1","2","1","1","2","2","2","1","2","2","2","1","1","2","2","2","1","2","2","2","1","2","1","1","1","1","1","1","2","1","1","2","1","1","2","1","2","2","2","2","1","2","1","1","2","1","1"
"19","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","2","2","1","1","1","1","1","1","2","2","1","2","1","2","1","1","2","2","2","2","1","1","2","2","2","2","2","1","1","1","2","2","1","1","1","2"
"20","2","2","2","1","1","2","1","1","2","2","2","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","2","2","1","2","2","2","2","2","1","2","2","1","1","1","1","2","1","2","2","2","1","2","1","1","1"
"21","1","2","2","2","2","2","1","2","2","2","1","1","1","1","2","2","2","2","1","1","1","2","1","1","1","2","2","1","2","2","1","2","2","1","1","2","2","1","1","2","1","1","2","1","1","2","2","1","1","2","1"
"22","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","2","2","1","2","2","2","1","2","2","1","2","2","1","2","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","2","1","2","2","2","1"
"23","2","2","2","2","1","1","1","2","2","1","1","1","1","2","1","2","1","2","1","2","2","1","1","1","1","1","1","2","2","2","1","1","1","1","2","2","2","2","2","1","1","2","1","2","1","2","1","2","2","2","2"
"24","2","1","2","1","1","1","2","1","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","1","2","2","2","1","2","1","1","2","1","2","2","2","2","1","2","1","2","1","2","2","2","2","2","2","1","2","2"
"25","1","1","2","2","2","1","2","2","2","2","2","1","1","1","1","1","2","1","1","1","2","2","2","2","1","2","1","2","2","1","1","2","2","1","2","2","1","2","1","1","2","1","1","2","2","1","1","2","1","1","2"
"26","2","2","2","2","2","1","1","1","1","1","1","2","2","2","1","2","2","2","2","1","1","2","2","2","1","2","2","2","1","1","1","1","1","2","1","2","2","2","2","2","1","1","1","1","2","1","1","2","1","1","1"
"27","1","1","1","2","2","1","1","1","2","2","2","2","1","1","1","1","1","2","2","1","2","1","2","1","2","1","2","2","2","2","1","1","1","1","2","2","2","1","2","2","2","2","2","1","2","1","2","1","2","1","1"
"28","2","1","1","1","2","1","1","1","2","2","1","2","1","2","1","1","2","2","1","2","1","2","2","2","2","2","1","1","2","2","2","1","2","2","2","1","2","1","1","1","1","2","1","2","1","1","2","2","1","2","1"
"29","2","2","1","2","1","2","1","2","1","1","1","1","2","1","1","1","1","2","2","2","2","2","1","2","2","2","1","1","2","2","2","2","2","1","2","1","2","1","2","2","2","1","1","1","2","1","1","1","1","1","2"
"30","1","2","2","2","1","1","2","1","1","2","2","2","2","2","1","1","1","2","1","2","1","2","1","1","1","1","1","2","2","1","2","2","2","2","2","1","2","2","1","1","1","1","2","1","2","2","2","1","2","1","1"
"31","1","2","2","1","2","2","2","2","2","1","1","1","2","2","1","1","1","1","1","2","1","1","2","2","2","2","2","2","1","2","2","2","1","1","2","2","1","2","2","1","1","2","2","1","1","1","2","1","1","1","1"
"32","2","2","2","1","2","2","1","1","1","2","1","1","1","1","2","1","2","1","2","2","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","2","1","2","2","2","1","1","2","1","1","1","2","2","2","1","2"
"33","1","1","2","2","2","2","1","2","1","2","1","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","1","1","1","1","1","2","1","2","1","1","2","2","1","2","1","2","2","2","2","2","1","1","1","2","2"
"34","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"35","2","1","2","1","2","1","2","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","1","1","2","2","2","2","1","1","2","1","2","1","1","1","1","1","1","2","2","1","1","1","2","2","2","2","2","1","2"
"36","2","2","2","1","1","2","2","1","1","2","2","1","1","2","2","2","1","1","1","2","2","2","2","1","1","2","2","2","2","2","1","1","1","2","2","1","1","1","1","2","2","2","1","1","2","1","1","1","1","2","1"
"37","2","2","1","1","1","1","2","2","2","1","1","2","1","1","2","1","1","1","2","1","1","1","2","2","1","2","1","2","2","2","1","2","2","2","1","1","2","2","1","2","2","2","2","1","1","2","1","2","2","1","1"
"38","1","2","1","1","1","2","2","1","1","1","2","1","1","2","1","2","2","2","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","1","1","1","2","1","2","2","1","2","2","2","1","1","2","2","2","1","2"
"39","1","2","1","2","2","2","2","2","1","1","1","2","1","1","2","2","2","2","1","2","1","1","2","1","2","1","1","2","2","1","2","1","2","2","1","2","1","1","2","1","2","2","1","2","2","2","1","1","1","1","1"
"40","1","1","2","1","1","1","2","2","1","2","2","2","1","1","1","2","1","2","2","2","1","2","1","2","1","1","2","1","2","2","2","2","1","2","1","2","1","1","2","2","1","2","2","2","1","1","1","2","1","1","2"
"41","2","1","1","2","1","1","2","2","1","1","2","1","2","1","1","2","2","1","2","2","1","2","2","1","2","1","1","1","1","2","1","1","2","1","2","2","1","2","1","2","1","2","2","1","2","2","2","2","1","2","1"
"42","1","1","1","2","1","2","2","1","2","1","1","1","2","1","1","1","2","1","2","2","1","2","1","1","1","2","2","2","2","1","2","1","1","2","1","2","2","2","1","2","2","2","1","2","1","1","2","1","2","2","2"
"43","1","2","1","1","2","2","1","1","2","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","1","1","2","1","2","2","1","2","1","1","2","1","1","1","1","1","2","1","2","2","2","2","1","2","2","1","2"
"44","2","2","1","1","2","1","1","2","2","2","2","1","2","1","1","2","2","2","1","1","1","1","1","1","1","2","1","1","1","1","2","2","1","2","2","1","1","2","2","2","2","2","2","2","2","1","1","1","2","2","1"
"45","2","2","1","2","1","2","2","2","2","2","1","2","2","1","1","2","1","2","2","1","2","1","2","2","1","1","2","2","1","1","1","1","2","2","2","1","1","1","1","1","1","1","2","2","1","1","2","1","1","2","2"
"46","2","1","2","1","2","2","2","2","1","2","1","2","2","1","2","1","2","1","1","1","1","2","1","2","1","1","1","2","1","2","1","1","1","1","2","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2"
"47","1","2","2","1","2","1","1","1","2","1","2","1","1","1","2","2","1","1","2","2","1","2","1","2","2","1","1","2","1","2","1","1","2","2","1","1","2","2","2","1","2","1","2","2","2","1","2","1","1","2","2"
"48","1","2","1","2","1","1","1","2","1","2","2","1","1","2","2","1","2","1","2","2","1","1","2","2","1","1","2","2","1","1","2","2","1","1","2","1","2","1","2","2","2","1","1","2","1","2","2","2","1","2","1"
"49","1","2","1","2","2","1","2","1","2","2","1","1","2","2","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","1","2","1","1","2","2","2","2","1","1","2","2","2","2","1","1","2","1","2","1","1","2"
"50","1","1","1","2","2","2","2","2","1","2","2","1","2","2","2","2","1","1","2","1","1","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","2","2","2","1","1","1","1","2","1","1","1","2","2","1","1"
"51","2","2","1","2","1","1","2","1","2","2","1","2","1","2","2","1","1","1","1","1","1","2","2","1","2","1","2","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","1","2","2","1","1","1","2","2","2"
"52","2","2","2","1","2","1","2","2","1","1","2","2","2","2","1","1","2","1","1","2","2","1","1","2","2","1","2","1","2","1","1","1","2","1","1","2","2","1","1","2","2","1","2","2","1","1","1","1","2","2","1"
