"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","1","3","1","3","2","3","2","1","2","1","3","1","3","2","3","2","1","11"
"2","1","2","1","3","3","2","1","2","1","3","3","2","1","2","1","3","3","2","3"
"3","2","3","2","1","1","3","2","3","2","1","1","3","2","3","2","1","1","3","3"
"4","3","3","1","1","2","2","1","1","2","2","3","3","2","2","3","3","1","1","8"
"5","1","3","2","3","2","1","3","2","1","2","1","3","2","1","3","1","3","2","17"
"6","3","2","1","2","1","3","2","1","3","1","3","2","1","3","2","3","2","1","17"
"7","3","2","2","1","3","1","2","1","1","3","2","3","1","3","3","2","1","2","18"
"8","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","4"
"9","3","1","2","3","1","2","2","3","1","2","3","1","1","2","3","1","2","3","16"
"10","2","2","2","2","2","2","1","1","1","1","1","1","3","3","3","3","3","3","13"
"11","2","1","3","1","3","2","2","1","3","1","3","2","2","1","3","1","3","2","5"
"12","1","3","3","2","1","2","3","2","2","1","3","1","2","1","1","3","2","3","18"
"13","1","1","2","2","3","3","2","2","3","3","1","1","3","3","1","1","2","2","8"
"14","1","2","1","3","3","2","3","1","3","2","2","1","2","3","2","1","1","3","15"
"15","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","7"
"16","2","3","1","2","3","1","3","1","2","3","1","2","1","2","3","1","2","3","10"
"17","2","1","3","1","3","2","1","3","2","3","2","1","3","2","1","2","1","3","17"
"18","2","3","1","2","3","1","1","2","3","1","2","3","3","1","2","3","1","2","16"
"19","3","1","3","2","2","1","1","2","1","3","3","2","2","3","2","1","1","3","9"
"20","3","1","3","2","2","1","3","1","3","2","2","1","3","1","3","2","2","1","3"
"21","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"22","3","3","3","3","3","3","2","2","2","2","2","2","1","1","1","1","1","1","13"
"23","2","3","2","1","1","3","3","1","3","2","2","1","1","2","1","3","3","2","9"
"24","1","1","2","2","3","3","3","3","1","1","2","2","2","2","3","3","1","1","14"
"25","3","3","3","3","3","3","1","1","1","1","1","1","2","2","2","2","2","2","7"
"26","3","2","1","2","1","3","1","3","2","3","2","1","2","1","3","1","3","2","11"
"27","3","2","2","1","3","1","1","3","3","2","1","2","2","1","1","3","2","3","12"
"28","1","2","1","3","3","2","2","3","2","1","1","3","3","1","3","2","2","1","9"
"29","1","3","2","3","2","1","2","1","3","1","3","2","3","2","1","2","1","3","11"
"30","1","3","3","2","1","2","1","3","3","2","1","2","1","3","3","2","1","2","6"
"31","2","1","1","3","2","3","2","1","1","3","2","3","2","1","1","3","2","3","6"
"32","2","2","2","2","2","2","3","3","3","3","3","3","1","1","1","1","1","1","7"
"33","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","4"
"34","1","2","3","1","2","3","3","1","2","3","1","2","2","3","1","2","3","1","16"
"35","1","3","3","2","1","2","2","1","1","3","2","3","3","2","2","1","3","1","12"
"36","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"37","1","2","3","1","2","3","2","3","1","2","3","1","3","1","2","3","1","2","10"
"38","2","2","3","3","1","1","3","3","1","1","2","2","1","1","2","2","3","3","8"
"39","2","1","1","3","2","3","3","2","2","1","3","1","1","3","3","2","1","2","12"
"40","2","2","3","3","1","1","1","1","2","2","3","3","3","3","1","1","2","2","14"
"41","2","2","3","3","1","1","2","2","3","3","1","1","2","2","3","3","1","1","2"
"42","3","2","1","2","1","3","3","2","1","2","1","3","3","2","1","2","1","3","5"
"43","2","1","1","3","2","3","1","3","3","2","1","2","3","2","2","1","3","1","18"
"44","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"45","2","3","2","1","1","3","1","2","1","3","3","2","3","1","3","2","2","1","15"
"46","3","3","1","1","2","2","2","2","3","3","1","1","1","1","2","2","3","3","14"
"47","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","4"
"48","3","2","2","1","3","1","3","2","2","1","3","1","3","2","2","1","3","1","6"
"49","3","3","1","1","2","2","3","3","1","1","2","2","3","3","1","1","2","2","2"
"50","1","3","2","3","2","1","1","3","2","3","2","1","1","3","2","3","2","1","5"
"51","3","1","2","3","1","2","1","2","3","1","2","3","2","3","1","2","3","1","10"
"52","1","1","1","1","1","1","3","3","3","3","3","3","2","2","2","2","2","2","13"
"53","3","1","3","2","2","1","2","3","2","1","1","3","1","2","1","3","3","2","15"
"54","1","1","2","2","3","3","1","1","2","2","3","3","1","1","2","2","3","3","2"
