"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S"
"1","2","2","2","2","1","2","1","2","1","1","1","1","1","1","2","2","2","11"
"2","2","1","1","2","1","1","2","1","1","1","2","1","1","2","2","1","2","1"
"3","1","1","2","2","2","1","1","1","1","1","2","2","1","1","1","2","1","13"
"4","2","2","1","2","1","2","2","1","2","2","2","1","2","2","1","2","2","8"
"5","1","1","1","2","1","1","2","2","2","1","1","1","2","1","2","2","2","7"
"6","1","1","1","2","2","2","2","1","1","1","2","2","2","1","2","1","2","6"
"7","1","2","2","1","2","2","2","2","1","2","1","2","2","1","2","2","1","1"
"8","1","1","2","1","2","1","1","1","1","2","1","1","2","1","2","2","1","8"
"9","2","2","1","2","2","2","2","2","1","1","1","2","1","2","2","2","1","10"
"10","2","2","1","1","2","1","2","2","1","2","2","2","1","2","1","2","2","13"
"11","2","2","2","1","2","2","1","1","2","1","1","1","1","2","1","2","2","6"
"12","2","1","1","1","2","2","2","2","2","1","2","1","1","1","1","1","1","11"
"13","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","1","12"
"14","2","1","2","2","1","2","1","2","2","2","2","1","1","1","2","2","1","2"
"15","2","2","2","2","1","1","1","2","2","1","2","2","2","1","1","2","1","5"
"16","1","1","2","1","1","2","1","1","2","1","1","1","2","2","2","1","2","13"
"17","1","2","1","2","1","1","1","1","2","2","1","2","1","1","1","2","2","1"
"18","1","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","9"
"19","2","1","1","1","2","1","2","1","2","1","1","2","2","1","2","1","1","15"
"20","2","2","1","2","2","2","1","1","1","1","1","2","2","2","1","2","1","7"
"21","1","2","2","1","2","1","1","2","2","1","1","1","2","1","1","1","2","10"
"22","1","2","1","1","2","2","2","1","2","1","2","1","2","2","2","2","1","2"
"23","2","1","2","1","1","1","2","2","1","2","1","1","1","1","1","2","1","6"
"24","2","1","2","1","2","1","2","1","2","1","1","2","1","2","2","2","2","5"
"25","2","1","1","2","2","1","2","1","2","2","1","1","1","1","1","1","1","14"
"26","2","1","1","1","1","2","1","1","2","2","1","2","1","1","2","2","1","3"
"27","2","2","2","1","2","1","1","1","2","2","2","1","1","1","2","1","2","7"
"28","1","2","2","1","2","1","2","2","2","2","2","1","2","2","1","2","1","9"
"29","1","1","1","1","2","2","2","2","1","1","2","1","2","1","1","2","2","3"
"30","1","1","2","2","2","1","1","1","1","2","2","2","2","2","2","2","1","11"
"31","1","2","2","1","1","2","1","2","1","1","1","2","1","2","2","1","1","14"
"32","1","1","1","2","2","2","1","2","2","1","1","2","1","2","1","1","1","8"
"33","2","2","2","2","2","2","1","1","1","2","2","1","2","1","2","1","2","4"
"34","1","1","2","2","2","2","1","2","2","2","2","2","1","1","1","1","2","15"
"35","1","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2","5"
"36","1","2","1","1","1","1","2","1","2","2","1","2","2","2","1","1","2","11"
"37","2","2","2","2","1","1","1","1","2","1","2","2","2","2","1","1","1","3"
"38","2","1","1","1","1","1","1","2","1","1","2","2","2","1","2","1","2","9"
"39","1","2","1","2","2","1","2","2","2","1","2","2","1","1","2","2","1","4"
"40","2","1","1","1","1","2","1","1","1","2","2","2","2","1","1","2","2","10"
"41","1","1","2","1","1","2","2","2","1","2","2","2","1","2","1","1","1","7"
"42","1","2","2","2","2","1","2","2","1","2","1","1","1","2","2","1","2","3"
"43","2","2","1","2","1","2","2","2","2","2","1","1","2","1","2","1","1","13"
"44","1","2","1","1","1","2","2","1","1","2","2","1","1","1","1","1","1","5"
"45","1","2","2","1","1","2","2","1","2","1","2","2","2","1","2","2","2","14"
"46","1","2","1","2","1","1","1","2","2","2","2","2","2","2","2","1","1","6"
"47","1","1","2","2","1","2","2","2","2","2","1","2","2","1","1","2","2","12"
"48","1","1","2","2","1","1","2","1","2","2","2","1","1","2","2","1","1","10"
"49","2","2","2","2","2","1","2","1","1","1","1","1","2","1","1","1","1","12"
"50","2","2","1","1","1","1","1","2","1","2","1","1","2","2","2","2","1","15"
"51","2","2","1","1","2","2","1","2","2","2","2","2","1","2","2","1","2","12"
"52","2","1","2","2","1","1","2","2","1","1","1","2","2","2","1","1","2","2"
"53","2","2","2","1","1","1","2","2","1","1","2","2","1","1","2","1","2","8"
"54","2","1","2","2","2","2","2","1","2","2","1","2","1","2","2","2","2","9"
"55","2","1","1","2","2","1","1","2","1","2","2","1","2","2","1","2","2","14"
"56","1","2","1","1","2","1","1","1","1","2","1","2","1","1","1","1","2","2"
"57","2","1","2","1","2","2","1","2","2","1","2","1","2","2","1","1","1","1"
"58","1","1","1","1","1","1","1","2","2","1","1","1","1","2","1","2","2","4"
"59","1","2","2","2","1","2","2","1","1","1","2","1","1","2","1","2","2","15"
"60","2","1","2","1","1","2","2","1","1","2","1","2","2","2","1","1","1","4"
