"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","2","1","1","2","1"
"2","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","2","2","1","2","2","2","4"
"3","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","2","2","2","8"
"4","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","2","1","1","9"
"5","2","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","2","2"
"6","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","1","2","2","2"
"7","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","1","1","8"
"8","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","3"
"9","1","2","1","1","2","1","2","2","2","1","2","1","2","2","1","2","1","1","1","1","1","2"
"10","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","2","2","2","5"
"11","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","1","2","5"
"12","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","1","2","2","6"
"13","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","2","1","9"
"14","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","2","1","1","10"
"15","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","1","1","5"
"16","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","1","2","9"
"17","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","1","2","3"
"18","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","2","2","2","8"
"19","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","2","1","6"
"20","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","1","2","1","5"
"21","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","1","2","1","1","8"
"22","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","1","2","1","8"
"23","1","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","2","2","2","1"
"24","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","1","1","2","7"
"25","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","1","1","2","1","3"
"26","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","1","1","1","1","1"
"27","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","4"
"28","1","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","2","2","2","1","2","9"
"29","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","1","2","1","3"
"30","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","1","2","6"
"31","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","1","2","2","1","2"
"32","1","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","2","1","1","4"
"33","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","2","2","10"
"34","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","2","2","1","2","1","1","7"
"35","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","1","1","10"
