"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","4","3","2","1","2","1","4","3","1","2","3","4","3","4","1","2","2","3","4","1","2"
"2","2","1","4","3","2","1","4","3","2","1","4","3","2","1","4","3","2","1","2","3","4"
"3","4","4","4","4","3","3","3","3","2","2","2","2","1","1","1","1","1","2","2","2","2"
"4","4","1","3","2","3","2","4","1","2","3","1","4","1","4","2","3","4","2","3","1","4"
"5","2","2","2","2","3","3","3","3","1","1","1","1","4","4","4","4","1","4","4","4","4"
"6","3","1","2","4","4","2","1","3","1","3","4","2","2","4","3","1","3","2","4","3","1"
"7","4","3","2","1","4","3","2","1","4","3","2","1","4","3","2","1","2","1","2","3","4"
"8","2","1","4","3","3","4","1","2","1","2","3","4","4","3","2","1","2","4","3","2","1"
"9","1","2","3","4","3","4","1","2","4","3","2","1","2","1","4","3","2","3","4","1","2"
"10","2","4","3","1","2","4","3","1","2","4","3","1","2","4","3","1","3","1","3","4","2"
"11","1","4","2","3","3","2","4","1","4","1","3","2","2","3","1","4","4","3","2","4","1"
"12","3","4","1","2","2","1","4","3","4","3","2","1","1","2","3","4","2","4","3","2","1"
"13","3","1","2","4","3","1","2","4","3","1","2","4","3","1","2","4","3","1","3","4","2"
"14","4","1","3","2","2","3","1","4","1","4","2","3","3","2","4","1","4","3","2","4","1"
"15","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","1","2","2","2","2"
"16","1","1","1","1","3","3","3","3","4","4","4","4","2","2","2","2","1","3","3","3","3"
"17","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1"
"18","3","4","1","2","4","3","2","1","1","2","3","4","2","1","4","3","2","2","1","4","3"
"19","1","2","3","4","4","3","2","1","2","1","4","3","3","4","1","2","2","4","3","2","1"
"20","4","2","1","3","3","1","2","4","2","4","3","1","1","3","4","2","3","2","4","3","1"
"21","2","2","2","2","4","4","4","4","3","3","3","3","1","1","1","1","1","3","3","3","3"
"22","4","2","1","3","4","2","1","3","4","2","1","3","4","2","1","3","3","1","3","4","2"
"23","4","2","1","3","2","4","3","1","1","3","4","2","3","1","2","4","3","3","1","2","4"
"24","2","3","1","4","1","4","2","3","4","1","3","2","3","2","4","1","4","2","3","1","4"
"25","3","2","4","1","1","4","2","3","2","3","1","4","4","1","3","2","4","3","2","4","1"
"26","1","4","2","3","4","1","3","2","2","3","1","4","3","2","4","1","4","4","1","3","2"
"27","3","3","3","3","1","1","1","1","2","2","2","2","4","4","4","4","1","3","3","3","3"
"28","2","4","3","1","1","3","4","2","4","2","1","3","3","1","2","4","3","2","4","3","1"
"29","2","4","3","1","3","1","2","4","1","3","4","2","4","2","1","3","3","4","2","1","3"
"30","1","1","1","1","4","4","4","4","2","2","2","2","3","3","3","3","1","4","4","4","4"
"31","1","2","3","4","2","1","4","3","3","4","1","2","4","3","2","1","2","2","1","4","3"
"32","4","4","4","4","2","2","2","2","1","1","1","1","3","3","3","3","1","3","3","3","3"
"33","3","2","4","1","2","3","1","4","4","1","3","2","1","4","2","3","4","4","1","3","2"
"34","4","3","2","1","3","4","1","2","2","1","4","3","1","2","3","4","2","2","1","4","3"
"35","3","1","2","4","2","4","3","1","4","2","1","3","1","3","4","2","3","4","2","1","3"
"36","4","3","2","1","1","2","3","4","3","4","1","2","2","1","4","3","2","4","3","2","1"
"37","2","3","1","4","4","1","3","2","3","2","4","1","1","4","2","3","4","3","2","4","1"
"38","3","2","4","1","3","2","4","1","3","2","4","1","3","2","4","1","4","1","4","2","3"
"39","3","3","3","3","4","4","4","4","1","1","1","1","2","2","2","2","1","2","2","2","2"
"40","1","3","4","2","4","2","1","3","2","4","3","1","3","1","2","4","3","4","2","1","3"
"41","3","2","4","1","4","1","3","2","1","4","2","3","2","3","1","4","4","2","3","1","4"
