"","A","B","C","D","E","F","G","H","J"
"1","2","3","8","5","1","4","7","6","4"
"2","2","2","2","2","2","2","2","2","1"
"3","1","8","4","5","7","2","6","3","8"
"4","5","7","1","3","2","4","6","8","3"
"5","8","7","6","5","4","3","2","1","2"
"6","7","7","7","7","7","7","7","7","1"
"7","4","3","2","1","8","7","6","5","2"
"8","1","1","1","1","1","1","1","1","1"
"9","3","1","7","5","8","6","4","2","3"
"10","1","5","6","2","8","4","3","7","5"
"11","5","4","8","1","3","6","2","7","8"
"12","6","4","5","3","8","2","7","1","7"
"13","2","8","1","7","4","6","3","5","7"
"14","5","1","2","6","4","8","7","3","5"
"15","3","6","2","7","5","4","8","1","8"
"16","7","3","4","8","2","6","5","1","5"
"17","5","3","6","4","7","1","8","2","7"
"18","7","1","8","2","5","3","6","4","7"
"19","8","5","2","3","7","6","1","4","4"
"20","2","1","4","3","6","5","8","7","2"
"21","3","5","4","6","1","7","2","8","7"
"22","6","1","3","8","7","4","2","5","6"
"23","3","4","1","2","7","8","5","6","2"
"24","4","8","7","3","5","1","2","6","5"
"25","3","2","5","8","4","1","6","7","4"
"26","7","4","2","5","6","1","3","8","6"
"27","5","8","3","2","6","7","4","1","4"
"28","2","6","5","1","7","3","4","8","5"
"29","6","6","6","6","6","6","6","6","1"
"30","3","7","8","4","6","2","1","5","5"
"31","6","5","8","7","2","1","4","3","2"
"32","7","8","5","6","3","4","1","2","2"
"33","8","3","1","6","5","2","4","7","6"
"34","6","7","4","1","5","8","3","2","4"
"35","4","5","1","8","6","3","7","2","8"
"36","8","8","8","8","8","8","8","8","1"
"37","4","4","4","4","4","4","4","4","1"
"38","4","7","5","2","1","6","8","3","6"
"39","8","6","4","2","3","1","7","5","3"
"40","1","2","3","4","5","6","7","8","2"
"41","5","5","5","5","5","5","5","5","1"
"42","5","6","7","8","1","2","3","4","2"
"43","5","2","4","7","8","3","1","6","6"
"44","1","4","7","6","2","3","8","5","4"
"45","6","3","7","2","4","5","1","8","8"
"46","4","6","3","5","2","8","1","7","7"
"47","2","7","3","6","8","1","5","4","8"
"48","6","2","1","5","3","7","8","4","5"
"49","4","1","6","7","3","2","5","8","4"
"50","2","5","7","4","3","8","6","1","6"
"51","8","4","3","7","1","5","6","2","5"
"52","1","3","5","7","6","8","2","4","3"
"53","7","6","1","4","8","5","2","3","4"
"54","8","1","5","4","2","7","3","6","8"
"55","1","7","2","8","3","5","4","6","7"
"56","8","2","7","1","6","4","5","3","7"
"57","1","6","8","3","4","7","5","2","6"
"58","7","5","3","1","4","2","8","6","3"
"59","3","8","6","1","2","5","7","4","6"
"60","3","3","3","3","3","3","3","3","1"
"61","7","2","6","3","1","8","4","5","8"
"62","6","8","2","4","1","3","5","7","3"
"63","2","4","6","8","5","7","1","3","3"
"64","4","2","8","6","7","5","3","1","3"
