"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"1","2","2","1","1","2","1","2","2","4","6","1","5","3","6","4","3"
"2","1","1","2","2","2","3","1","1","1","6","6","4","2","5","3","2"
"3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"4","1","2","2","1","2","2","1","3","1","4","4","3","5","6","4","2"
"5","1","1","2","2","2","2","3","3","1","6","2","6","4","1","5","4"
"6","1","1","2","1","2","1","1","1","4","2","1","3","4","2","5","6"
"7","2","1","2","1","2","2","1","3","3","5","4","5","2","1","6","3"
"8","1","2","1","2","2","3","2","1","2","5","5","6","3","2","1","4"
"9","2","1","1","1","1","2","3","1","1","5","1","2","6","6","2","4"
"10","2","1","2","2","2","2","3","3","2","1","5","1","1","5","4","6"
"11","2","1","1","2","2","2","3","1","3","3","4","1","3","2","3","2"
"12","2","1","1","2","2","3","2","1","4","4","5","4","6","1","5","3"
"13","1","1","2","1","2","2","2","2","4","2","5","1","2","6","3","4"
"14","2","1","1","1","1","1","2","3","1","5","3","4","2","2","4","6"
"15","1","1","2","2","2","1","2","2","1","6","4","2","6","3","1","6"
"16","1","2","2","1","2","2","3","1","2","3","1","4","6","5","6","5"
"17","2","2","1","2","2","2","2","2","1","2","2","4","5","3","6","1"
"18","1","1","1","1","1","3","3","2","4","3","4","4","5","1","2","6"
"19","2","2","1","1","1","3","3","2","2","4","4","3","2","5","1","4"
"20","2","2","2","2","1","3","3","2","1","3","1","1","2","4","5","3"
"21","1","1","1","1","1","2","2","2","1","1","5","5","5","5","5","5"
"22","2","2","1","1","2","3","1","1","4","6","3","1","5","2","6","5"
"23","2","2","1","1","2","2","3","3","4","6","5","3","1","4","2","1"
"24","1","2","2","1","2","3","1","2","2","3","5","2","4","3","4","3"
"25","2","2","2","2","1","2","2","1","1","3","3","3","4","6","1","5"
"26","1","1","1","1","1","1","1","3","4","3","2","2","3","5","6","4"
"27","2","1","1","2","2","1","3","2","4","4","3","2","4","5","3","1"
"28","1","2","1","1","2","3","1","1","3","1","6","2","2","6","5","1"
"29","2","1","2","1","2","3","2","1","3","5","2","3","6","5","4","1"
"30","1","1","1","1","1","2","2","1","4","3","6","6","1","3","4","2"
"31","2","1","2","1","1","1","3","1","2","6","2","6","5","6","3","3"
"32","2","1","2","1","2","1","3","2","3","5","6","1","4","3","2","5"
"33","2","2","2","1","1","3","2","3","3","2","1","4","1","3","3","4"
"34","1","1","2","2","1","3","3","2","3","4","1","6","5","2","4","1"
"35","2","2","1","2","2","1","1","1","1","2","4","6","1","5","2","3"
"36","2","2","2","2","1","2","2","2","4","1","2","2","2","2","2","2"
"37","1","1","2","2","1","1","1","3","3","4","5","4","3","6","2","5"
"38","1","2","1","2","2","1","3","2","2","5","3","4","1","6","5","2"
"39","1","2","1","1","2","1","2","2","3","1","4","6","6","4","3","5"
"40","1","2","1","2","2","2","1","3","2","5","1","2","5","4","3","6"
"41","2","1","2","1","1","2","1","2","2","6","6","4","3","4","1","1"
"42","2","2","2","1","1","1","3","1","3","2","5","2","5","1","1","2"
"43","1","2","2","1","2","3","2","1","1","4","2","1","3","4","2","6"
"44","1","1","2","2","1","2","2","1","3","4","3","2","1","4","6","3"
"45","2","2","1","1","1","1","1","3","2","4","2","1","6","3","5","2"
"46","1","2","2","2","1","3","1","2","4","5","2","3","1","1","3","5"
"47","1","2","2","1","2","1","3","2","1","4","6","5","1","2","6","4"
"48","1","2","1","2","1","2","1","2","3","6","3","1","6","1","4","4"
"49","1","2","2","1","2","1","2","3","2","3","3","6","2","1","2","1"
"50","2","1","2","2","2","3","1","1","2","1","3","5","5","3","2","4"
"51","1","2","1","1","2","2","3","3","3","1","2","4","4","2","1","3"
"52","1","2","2","2","1","2","3","1","4","5","4","5","3","3","5","1"
"53","1","2","2","2","1","1","2","3","4","5","6","1","5","5","1","3"
"54","1","2","1","2","1","1","3","1","3","6","5","3","2","3","6","6"
"55","2","2","2","2","1","3","3","3","4","1","6","6","6","6","6","6"
"56","2","1","2","1","1","3","2","3","2","6","4","2","1","2","5","5"
"57","2","1","1","2","2","2","1","3","4","4","1","6","2","3","1","5"
"58","2","2","2","2","1","1","1","3","1","3","5","5","6","2","3","1"
"59","2","1","1","2","2","3","1","2","3","3","2","5","1","6","1","6"
"60","2","2","1","1","1","2","2","1","2","4","6","5","4","1","3","6"
"61","2","2","1","2","2","3","3","3","1","2","6","2","3","1","4","5"
"62","1","1","2","1","2","3","3","3","4","2","3","5","6","4","1","2"
"63","2","1","1","1","1","3","1","2","1","5","5","6","4","4","6","2"
"64","1","1","1","1","1","3","3","3","1","1","3","3","3","3","3","3"
"65","2","1","1","2","2","1","2","3","3","3","6","3","5","4","5","4"
"66","1","1","1","2","1","3","2","3","2","2","4","1","4","6","6","1"
"67","2","2","2","1","1","2","1","2","3","2","3","6","3","5","5","6"
"68","1","1","1","2","1","1","3","1","2","2","2","5","2","4","4","5"
"69","2","2","2","2","1","1","1","1","4","1","4","4","4","4","4","4"
"70","1","1","1","2","1","2","1","2","2","2","6","3","6","2","2","3"
"71","1","2","1","2","1","3","2","3","3","6","1","5","4","5","2","2"
"72","2","1","2","2","2","1","2","2","2","1","1","3","3","1","6","2"
