"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S"
"1","2","2","2","1","1","2","2","1","2","1","2","3","3","6","3","5","5","6"
"2","1","2","2","1","2","2","1","2","2","1","3","1","4","3","5","6","4","2"
"3","1","1","1","2","1","2","2","1","3","2","3","2","4","1","4","6","6","1"
"4","2","2","1","2","2","1","2","1","3","3","3","1","6","2","3","1","4","5"
"5","2","2","2","1","1","2","2","1","3","2","3","3","1","4","1","3","3","4"
"6","2","1","1","1","1","2","1","3","1","2","3","1","3","4","2","2","4","6"
"7","1","1","1","1","1","1","1","1","2","2","2","1","5","5","5","5","5","5"
"8","2","1","2","1","1","1","1","3","2","1","2","2","6","4","3","4","1","1"
"9","1","1","1","1","1","1","2","2","2","2","1","4","6","6","1","3","4","2"
"10","1","2","1","1","2","2","1","1","1","2","2","3","4","6","6","4","3","5"
"11","2","2","1","1","1","2","2","2","2","2","1","2","6","5","4","1","3","6"
"12","1","2","1","2","2","1","2","3","2","1","3","2","1","2","5","4","3","6"
"13","2","1","2","2","2","2","1","1","1","2","2","2","1","3","3","1","6","2"
"14","2","1","2","1","1","1","1","3","3","2","3","2","4","2","1","2","5","5"
"15","2","2","2","1","1","2","2","1","1","3","1","3","5","2","5","1","1","2"
"16","1","1","1","2","1","2","2","1","2","1","2","2","6","3","6","2","2","3"
"17","2","1","1","2","2","1","1","2","2","3","1","3","4","1","3","2","3","2"
"18","1","1","2","1","2","1","2","1","1","1","1","4","1","3","4","2","5","6"
"19","2","2","1","1","2","2","2","3","2","3","3","4","5","3","1","4","2","1"
"20","1","1","1","1","1","1","2","2","3","3","2","4","4","4","5","1","2","6"
"21","1","2","2","1","2","1","1","2","2","3","1","2","1","4","6","5","6","5"
"22","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"23","2","2","1","1","1","2","2","2","1","1","3","2","2","1","6","3","5","2"
"24","2","1","1","2","2","2","1","2","2","1","3","4","1","6","2","3","1","5"
"25","1","1","1","2","1","2","2","1","1","3","1","2","2","5","2","4","4","5"
"26","1","2","1","1","2","2","1","1","2","3","3","3","2","4","4","2","1","3"
"27","1","2","1","2","1","1","1","3","1","3","1","3","5","3","2","3","6","6"
"28","1","2","1","2","2","1","2","3","3","2","1","2","5","6","3","2","1","4"
"29","1","1","2","2","1","2","2","2","1","1","3","3","5","4","3","6","2","5"
"30","2","2","2","2","1","1","2","2","1","1","3","1","5","5","6","2","3","1"
"31","2","1","1","1","1","2","1","3","3","1","2","1","5","6","4","4","6","2"
"32","2","2","1","1","1","2","2","2","3","3","2","2","4","3","2","5","1","4"
"33","1","2","2","2","1","2","1","3","2","3","1","4","4","5","3","3","5","1"
"34","2","2","1","2","2","1","2","1","2","2","2","1","2","4","5","3","6","1"
"35","2","2","1","1","2","2","2","3","3","1","1","4","3","1","5","2","6","5"
"36","1","2","2","1","2","2","1","2","1","3","2","1","6","5","1","2","6","4"
"37","2","2","1","2","2","1","2","1","1","1","1","1","4","6","1","5","2","3"
"38","2","1","1","2","2","2","1","2","1","3","2","4","3","2","4","5","3","1"
"39","2","1","1","1","1","2","1","3","2","3","1","1","1","2","6","6","2","4"
"40","1","2","1","2","2","1","2","3","1","3","2","2","3","4","1","6","5","2"
"41","1","1","2","2","1","2","2","2","3","3","2","3","1","6","5","2","4","1"
"42","2","1","2","2","2","2","1","1","3","1","1","2","3","5","5","3","2","4"
"43","1","1","1","1","1","1","2","2","1","1","3","4","2","2","3","5","6","4"
"44","1","2","2","1","2","1","1","2","3","1","2","2","5","2","4","3","4","3"
"45","2","2","2","2","1","1","2","2","2","2","1","1","3","3","4","6","1","5"
"46","1","1","1","1","1","1","1","1","3","3","3","1","3","3","3","3","3","3"
"47","1","2","1","2","1","1","1","3","2","1","2","3","3","1","6","1","4","4"
"48","1","2","1","1","2","2","1","1","3","1","1","3","6","2","2","6","5","1"
"49","1","2","1","2","1","1","1","3","3","2","3","3","1","5","4","5","2","2"
"50","1","1","2","2","1","2","2","2","2","2","1","3","3","2","1","4","6","3"
"51","2","1","2","1","1","1","1","3","1","3","1","2","2","6","5","6","3","3"
"52","2","1","1","2","2","2","1","2","3","2","1","4","5","4","6","1","5","3"
"53","1","1","2","2","2","2","2","3","3","1","1","1","6","4","2","5","3","2"
"54","2","2","1","1","2","2","2","3","1","2","2","4","1","5","3","6","4","3"
"55","1","2","2","1","2","2","1","2","3","2","1","1","2","1","3","4","2","6"
"56","2","1","2","1","2","1","2","3","3","2","1","3","2","3","6","5","4","1"
"57","1","2","2","2","1","2","1","3","1","2","3","4","6","1","5","5","1","3"
"58","2","1","2","2","2","2","1","1","2","3","3","2","5","1","1","5","4","6"
"59","2","1","2","1","2","1","2","3","2","1","3","3","4","5","2","1","6","3"
"60","1","1","2","2","2","2","2","3","2","3","3","1","2","6","4","1","5","4"
"61","1","1","2","2","2","2","2","3","1","2","2","1","4","2","6","3","1","6"
"62","2","1","2","1","2","1","2","3","1","3","2","3","6","1","4","3","2","5"
"63","2","2","2","2","1","1","1","1","3","3","3","4","6","6","6","6","6","6"
"64","2","2","2","2","1","1","2","2","3","3","2","1","1","1","2","4","5","3"
"65","2","2","2","2","1","1","1","1","2","2","2","4","2","2","2","2","2","2"
"66","2","1","1","2","2","1","1","2","3","1","2","3","2","5","1","6","1","6"
"67","1","2","2","2","1","2","1","3","3","1","2","4","2","3","1","1","3","5"
"68","1","2","2","1","2","1","1","2","1","2","3","2","3","6","2","1","2","1"
"69","1","1","2","1","2","1","2","1","2","2","2","4","5","1","2","6","3","4"
