"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"1","2","2","2","1","2","2","1","2","3","1","3","1","2","1","2","1","5","3","3","6"
"2","1","1","2","2","2","2","1","2","3","3","2","1","1","3","5","5","6","4","1","3"
"3","1","2","2","1","2","1","1","1","2","1","3","2","3","3","5","2","4","1","6","5"
"4","2","1","1","2","2","1","1","2","2","2","3","1","3","1","4","3","6","1","2","9"
"5","1","2","2","2","1","1","2","3","3","2","2","3","2","1","4","5","4","1","3","11"
"6","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","1"
"7","1","1","2","1","2","1","2","1","3","3","2","2","3","1","6","1","5","4","2","4"
"8","1","2","2","1","2","1","1","3","1","3","2","1","2","2","1","4","6","3","2","5"
"9","2","1","2","1","1","1","1","3","2","1","2","3","3","1","2","4","6","2","1","8"
"10","2","1","1","2","1","2","2","3","1","3","2","1","2","2","4","1","3","6","5","5"
"11","1","1","1","2","1","1","2","3","1","2","1","2","3","2","3","2","6","4","4","6"
"12","2","2","1","1","1","1","2","1","2","2","1","3","3","2","4","4","5","3","6","3"
"13","1","1","1","2","1","1","2","2","3","1","3","1","2","1","5","4","2","6","6","6"
"14","2","1","2","1","1","2","2","3","1","2","3","3","1","3","5","1","2","1","2","7"
"15","1","2","1","2","2","2","2","1","3","2","3","1","1","2","3","5","1","3","2","8"
"16","1","2","1","1","1","2","1","1","3","2","3","2","2","3","4","1","6","2","4","2"
"17","1","2","1","2","2","2","2","3","2","1","2","3","3","1","5","1","3","5","4","8"
"18","2","1","1","2","1","2","2","1","2","1","3","2","3","3","2","5","1","4","3","5"
"19","2","1","2","2","2","1","2","3","2","1","2","1","1","2","3","6","5","1","3","2"
"20","1","2","2","1","1","2","2","1","1","1","2","3","2","3","3","2","5","6","1","9"
"21","1","1","2","2","2","2","1","1","2","2","1","3","3","2","1","1","2","6","3","3"
"22","1","2","2","1","1","2","2","3","3","3","1","2","1","2","5","4","1","2","3","9"
"23","2","1","1","2","2","1","1","1","1","1","2","3","2","3","6","5","2","3","4","9"
"24","1","1","2","1","2","1","2","2","1","1","3","3","1","2","4","5","3","2","6","4"
"25","1","1","1","1","1","1","1","2","2","2","2","2","2","2","5","5","5","5","5","1"
"26","2","1","2","1","1","1","1","1","3","2","3","1","1","2","6","2","4","6","5","8"
"27","2","2","1","2","1","2","1","2","1","1","3","3","1","2","1","2","6","5","3","4"
"28","2","2","2","2","1","1","1","1","3","1","1","3","2","2","5","3","3","4","2","12"
"29","1","1","1","1","2","2","2","2","1","2","2","1","3","3","6","4","4","5","3","12"
"30","1","2","2","2","1","1","2","1","1","3","3","1","3","2","2","3","2","5","1","11"
"31","1","1","1","2","1","1","2","1","2","3","2","3","1","3","1","6","4","2","2","6"
"32","1","2","1","1","1","2","1","2","1","3","1","3","3","1","2","5","4","6","2","2"
"33","1","2","1","2","2","1","1","3","1","2","3","3","1","3","2","4","5","4","5","7"
"34","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"35","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","2","1","1","2","1","2","2","2","3","2","1","3","1","1","6","3","5","2","1","5"
"37","1","2","1","1","1","2","1","3","2","1","2","1","1","2","6","3","2","4","6","2"
"38","1","1","2","2","1","2","1","2","2","3","3","3","2","2","6","4","1","1","4","10"
"39","2","2","2","1","2","2","1","1","2","3","2","3","1","3","4","3","1","5","5","6"
"40","2","2","2","2","1","1","1","3","2","3","3","2","1","1","1","5","5","6","4","12"
"41","2","2","1","2","1","2","1","3","2","2","1","1","2","3","5","6","4","3","1","4"
"42","1","1","2","2","2","2","1","3","1","1","3","2","2","1","3","3","4","2","5","3"
"43","2","2","2","2","1","1","1","2","1","2","2","1","3","3","3","1","1","2","6","12"
"44","1","2","2","1","2","1","1","2","3","2","1","3","1","1","3","6","2","5","4","5"
"45","2","1","2","2","2","1","2","1","3","2","3","2","2","3","1","4","3","5","1","2"
"46","1","2","1","2","2","2","2","2","1","3","1","2","2","3","1","3","5","1","6","8"
"47","1","2","1","2","2","1","1","2","3","1","2","2","3","2","4","6","1","6","1","7"
"48","1","1","1","1","2","2","2","3","2","3","3","2","1","1","4","2","2","3","1","12"
"49","2","1","2","1","1","2","2","2","3","1","2","2","3","2","1","3","4","3","4","7"
"50","2","1","1","2","2","1","1","3","3","3","1","2","1","2","2","1","4","5","6","9"
"51","1","1","2","1","2","1","2","3","2","2","1","1","2","3","2","3","1","6","4","4"
"52","1","1","1","1","2","2","2","1","3","1","1","3","2","2","2","6","6","1","5","12"
"53","2","1","2","2","2","1","2","2","1","3","1","3","3","1","5","2","1","3","5","2"
"54","2","2","1","1","2","1","2","3","3","1","1","1","3","3","1","5","2","2","5","10"
"55","2","1","1","1","2","2","1","2","2","1","1","2","1","3","3","4","3","6","2","11"
"56","2","2","1","2","1","2","1","1","3","3","2","2","3","1","3","4","2","1","5","4"
"57","2","1","2","1","1","1","1","2","1","3","1","2","2","3","4","6","2","4","3","8"
"58","2","2","2","1","2","2","1","3","1","2","1","2","3","2","6","5","3","1","1","6"
"59","2","2","1","1","2","1","2","1","1","2","2","2","1","1","5","3","6","6","3","10"
"60","2","2","1","1","1","1","2","2","3","3","2","1","1","3","2","2","3","1","4","3"
"61","2","1","1","1","2","2","1","3","3","2","2","3","2","1","1","2","1","4","6","11"
"62","2","2","1","1","1","1","2","3","1","1","3","2","2","1","6","6","1","5","2","3"
"63","1","1","2","2","1","2","1","1","1","2","2","2","1","1","2","6","3","3","6","10"
"64","1","2","2","2","1","1","2","2","2","1","1","2","1","3","6","1","6","3","5","11"
"65","2","1","2","1","1","2","2","1","2","3","1","1","2","1","3","5","6","5","6","7"
"66","2","2","2","2","2","2","2","3","3","3","3","3","3","3","6","6","6","6","6","1"
"67","2","1","1","1","2","2","1","1","1","3","3","1","3","2","5","6","5","2","4","11"
"68","2","2","1","1","2","1","2","2","2","3","3","3","2","2","3","1","4","4","1","10"
"69","1","1","2","2","1","2","1","3","3","1","1","1","3","3","4","2","5","5","2","10"
"70","1","2","2","1","1","2","2","2","2","2","3","1","3","1","1","6","3","4","5","9"
"71","2","2","2","2","2","2","2","1","1","1","1","1","1","1","4","4","4","4","4","1"
"72","1","2","1","2","2","1","1","1","2","3","1","1","2","1","6","2","3","2","3","7"
