"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","1","1","2","1","2","2","1","2","1","3","3","1","1","1","3","3","4","1","5","2","2","5"
"2","2","1","2","1","1","1","1","1","3","3","1","2","3","3","1","3","2","2","4","5","4","5"
"3","2","2","1","2","1","2","1","2","1","3","3","1","1","1","3","3","1","4","2","5","5","2"
"4","2","2","2","1","2","1","2","2","1","2","1","3","1","3","3","1","3","5","2","1","3","5"
"5","1","1","1","1","2","1","1","2","2","2","3","3","2","1","1","3","4","2","2","3","1","4"
"6","1","2","2","1","1","2","1","1","2","2","3","2","1","3","1","1","2","3","6","2","5","4"
"7","2","2","1","2","1","2","1","2","1","2","2","3","3","3","2","2","1","6","4","1","1","4"
"8","1","2","2","1","2","2","2","1","2","3","2","2","1","1","2","3","1","2","3","1","6","4"
"9","1","1","2","2","1","1","2","2","2","3","3","2","2","3","2","1","3","1","2","1","4","6"
"10","2","1","1","2","1","2","2","1","2","1","3","3","2","2","3","1","4","3","4","2","1","5"
"11","2","1","1","1","2","1","2","1","3","3","1","2","1","2","3","2","1","3","2","6","4","4"
"12","1","1","1","1","2","1","1","2","2","1","2","2","1","3","3","2","4","4","4","5","3","6"
"13","1","1","2","2","2","2","2","2","3","3","2","3","3","2","1","1","1","4","2","2","3","1"
"14","2","1","1","2","1","2","2","1","2","3","2","2","1","1","2","3","4","5","6","4","3","1"
"15","2","2","1","1","1","2","2","2","3","3","2","3","3","2","1","1","4","1","5","5","6","4"
"16","2","2","2","2","1","1","1","2","2","3","1","1","3","2","2","1","1","3","3","4","2","5"
"17","2","1","1","1","2","1","2","1","3","1","2","3","2","3","1","3","1","1","6","4","2","2"
"18","2","2","2","1","2","1","2","2","1","1","3","2","3","2","2","3","3","1","4","3","5","1"
"19","1","2","1","1","1","2","2","1","1","1","3","2","3","1","1","2","3","6","2","4","6","5"
"20","2","2","1","1","1","2","2","2","3","2","1","2","2","1","3","3","4","3","1","1","2","6"
"21","2","1","2","1","1","1","1","1","3","2","3","1","2","2","3","2","2","4","6","1","6","1"
"22","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","4","4","4","4","4","4"
"23","1","1","2","2","1","1","2","2","2","2","2","1","1","2","1","3","3","3","4","3","6","2"
"24","1","2","2","1","2","2","2","1","2","2","1","1","3","3","1","2","1","4","5","3","2","6"
"25","2","1","1","2","2","2","1","1","2","2","3","2","1","3","1","1","3","6","3","5","2","1"
"26","2","2","2","2","1","1","1","2","2","2","3","3","2","1","1","3","1","5","5","6","4","1"
"27","1","1","1","2","1","1","2","2","1","1","3","2","3","2","2","3","2","4","1","6","2","4"
"28","2","1","1","1","2","1","2","1","3","2","3","1","3","1","2","1","1","5","4","2","6","6"
"29","1","2","1","2","2","1","1","1","3","1","2","3","1","1","2","1","3","3","5","6","5","6"
"30","1","1","2","1","2","2","1","2","1","2","2","3","3","3","2","2","4","3","1","4","4","1"
"31","1","1","2","2","1","1","2","2","2","1","1","3","3","1","3","2","3","5","6","5","2","4"
"32","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","5","5","5","5","5"
"33","2","1","1","2","1","2","2","1","2","2","1","1","3","3","1","2","4","1","2","6","5","3"
"34","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","1","3","3","3","3","3"
"35","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","1","2","2","1","1","2","1","1","2","1","2","1","3","2","3","3","2","5","2","4","1","6"
"37","2","2","2","2","2","1","1","1","1","3","3","3","3","3","3","3","4","6","6","6","6","6"
"38","1","1","2","2","2","2","2","2","3","1","3","1","1","3","2","2","1","2","6","6","1","5"
"39","2","2","2","2","2","1","1","1","1","2","2","2","2","2","2","2","4","2","2","2","2","2"
"40","2","1","1","2","2","2","1","1","2","3","1","3","2","1","2","2","3","4","1","3","6","5"
"41","2","1","2","1","1","2","1","2","3","1","1","1","2","3","2","3","3","6","5","2","3","4"
"42","2","1","2","1","1","1","1","1","3","1","2","3","1","1","2","1","2","6","2","3","2","3"
"43","2","2","1","1","2","1","2","2","2","1","1","3","3","1","3","2","2","2","3","2","5","1"
"44","2","1","1","2","2","2","1","1","2","1","2","1","3","2","3","3","3","2","5","1","4","3"
"45","1","1","1","2","1","1","2","2","1","3","2","1","2","1","1","2","2","6","3","2","4","6"
"46","2","1","2","2","2","2","2","1","1","2","1","3","1","2","2","3","2","1","3","5","1","6"
"47","2","1","2","2","2","2","2","1","1","1","3","2","3","1","1","2","2","3","5","1","3","2"
"48","2","1","2","1","1","2","1","2","3","3","3","3","1","2","1","2","3","2","1","4","5","6"
"49","1","2","1","2","2","2","1","2","3","1","1","1","2","3","2","3","2","3","2","5","6","1"
"50","1","1","2","1","2","2","1","2","1","1","1","2","2","2","1","1","4","5","3","6","6","3"
"51","1","1","2","2","2","2","2","2","3","2","1","2","2","1","3","3","1","6","4","4","5","3"
"52","1","2","2","1","1","2","1","1","2","3","1","3","2","1","2","2","2","1","4","6","3","2"
"53","2","2","1","2","1","2","1","2","1","1","1","2","2","2","1","1","1","2","6","3","3","6"
"54","1","2","2","2","1","1","2","1","3","3","1","2","1","2","3","2","4","6","5","3","1","1"
"55","1","2","1","2","2","1","1","1","3","3","1","2","3","3","1","3","3","5","1","2","1","2"
"56","1","2","2","2","1","1","2","1","3","2","3","1","3","1","2","1","4","2","1","5","3","3"
"57","2","1","2","2","2","2","2","1","1","3","2","1","2","3","3","1","2","5","1","3","5","4"
"58","2","2","1","1","2","1","2","2","2","3","3","2","2","3","2","1","2","4","5","4","1","3"
"59","2","2","1","1","2","1","2","2","2","2","2","1","1","2","1","3","2","6","1","6","3","5"
"60","1","1","1","1","2","1","1","2","2","3","1","1","3","2","2","1","4","6","6","1","5","2"
"61","2","2","2","1","2","1","2","2","1","3","2","1","2","1","1","2","3","3","6","5","1","3"
"62","1","2","1","1","1","2","2","1","1","3","2","1","2","3","3","1","3","2","4","6","2","1"
"63","1","1","1","2","1","1","2","2","1","2","1","3","1","3","3","1","2","2","5","4","6","2"
"64","1","2","1","1","1","2","2","1","1","2","1","3","1","2","2","3","3","4","6","2","4","3"
"65","2","2","2","2","1","1","1","2","2","1","2","2","1","3","3","2","1","1","1","2","6","3"
"66","2","1","2","1","1","2","1","2","3","2","2","2","3","1","3","1","3","4","3","6","1","2"
"67","1","2","1","2","2","1","1","1","3","2","3","1","2","2","3","2","3","1","3","4","3","4"
"68","1","2","2","2","1","1","2","1","3","1","2","3","2","3","1","3","4","4","3","1","5","5"
"69","1","2","1","2","2","2","1","2","3","3","3","3","1","2","1","2","2","5","4","1","2","3"
"70","2","2","1","1","1","2","2","2","3","1","3","1","1","3","2","2","4","5","3","3","4","2"
"71","1","2","2","1","2","2","2","1","2","1","3","3","2","2","3","1","1","6","1","5","4","2"
"72","1","2","1","2","2","2","1","2","3","2","2","2","3","1","3","1","2","1","6","3","4","5"
