"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","2","1","1","2","1","2","2","2","3","1","3","2","1","2","2","1","1","3","6","5","5"
"2","2","1","2","1","1","2","2","1","1","2","3","1","1","2","1","3","5","6","5","6","7"
"3","2","1","1","2","1","2","2","2","2","3","2","1","3","1","1","3","3","5","2","1","5"
"4","2","1","1","1","2","2","1","1","2","2","1","1","2","1","3","3","4","3","6","2","11"
"5","2","2","2","2","1","1","1","2","1","3","1","1","3","2","2","2","3","3","4","2","12"
"6","1","2","2","1","1","2","2","1","1","1","1","2","3","2","3","3","2","5","6","1","9"
"7","2","1","1","2","2","1","1","1","3","3","3","1","2","1","2","2","1","4","5","6","9"
"8","1","1","1","1","2","2","2","1","1","3","1","1","3","2","2","2","6","6","1","5","12"
"9","2","2","1","2","1","2","1","2","3","2","2","1","1","2","3","2","6","4","3","1","4"
"10","1","1","2","2","2","2","1","2","2","3","3","2","1","1","3","2","5","6","4","1","3"
"11","2","1","2","1","1","2","2","1","2","3","1","2","2","3","2","1","3","4","3","4","7"
"12","2","2","1","1","2","1","2","2","1","1","2","2","2","1","1","2","3","6","6","3","10"
"13","2","1","2","2","2","1","2","2","2","1","3","1","3","3","1","2","2","1","3","5","2"
"14","1","1","2","2","1","2","1","2","3","3","1","1","1","3","3","1","2","5","5","2","10"
"15","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","6","6","6","6","1"
"16","2","2","2","2","1","1","1","1","2","1","2","2","1","3","3","3","1","1","2","6","12"
"17","1","1","1","2","1","1","2","2","2","3","1","3","1","2","1","2","4","2","6","6","6"
"18","2","1","2","2","2","1","2","1","3","2","1","2","1","1","2","3","6","5","1","3","2"
"19","1","1","2","1","2","1","2","2","2","1","1","3","3","1","2","1","5","3","2","6","4"
"20","2","2","1","2","1","2","1","1","1","3","3","2","2","3","1","3","4","2","1","5","4"
"21","2","2","2","1","2","2","1","1","2","3","1","3","1","2","1","2","1","5","3","3","6"
"22","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","5","5","5","5","1"
"23","1","1","2","2","2","2","1","1","1","2","2","1","3","3","2","1","1","2","6","3","3"
"24","1","2","1","2","2","2","2","2","3","2","1","2","3","3","1","2","1","3","5","4","8"
"25","2","2","1","1","1","1","2","2","3","1","1","3","2","2","1","3","6","1","5","2","3"
"26","1","1","2","2","2","2","1","1","3","1","1","3","2","2","1","3","3","4","2","5","3"
"27","2","1","2","1","1","1","1","1","3","2","1","2","3","3","1","2","4","6","2","1","8"
"28","1","2","2","2","1","1","2","2","3","3","2","2","3","2","1","1","5","4","1","3","11"
"29","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1"
"30","1","2","1","1","1","2","1","2","3","2","1","2","1","1","2","3","3","2","4","6","2"
"31","1","2","1","2","2","2","2","1","1","3","2","3","1","1","2","3","5","1","3","2","8"
"32","1","2","2","1","2","1","1","1","2","3","2","1","3","1","1","3","6","2","5","4","5"
"33","2","2","1","1","1","1","2","1","2","3","3","2","1","1","3","2","2","3","1","4","3"
"34","2","2","1","1","2","1","2","1","3","3","1","1","1","3","3","1","5","2","2","5","10"
"35","1","2","1","2","2","1","1","2","1","2","3","1","1","2","1","3","2","3","2","3","7"
"36","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","4","4","4","4","1"
"37","1","1","2","2","1","2","1","1","1","1","2","2","2","1","1","2","6","3","3","6","10"
"38","1","1","1","1","2","2","2","2","2","1","2","2","1","3","3","3","4","4","5","3","12"
"39","1","1","1","2","1","1","2","1","1","2","3","2","3","1","3","1","6","4","2","2","6"
"40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"41","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","1"
"42","2","2","1","2","1","2","1","1","2","1","1","3","3","1","2","1","2","6","5","3","4"
"43","2","1","1","2","2","1","1","2","1","1","1","2","3","2","3","3","5","2","3","4","9"
"44","1","1","2","1","2","1","2","2","1","3","3","2","2","3","1","3","1","5","4","2","4"
"45","2","1","2","1","1","1","1","2","2","1","3","1","2","2","3","1","6","2","4","3","8"
"46","2","2","2","1","2","2","1","2","1","2","3","2","3","1","3","1","3","1","5","5","6"
"47","1","1","1","2","1","1","2","1","3","1","2","1","2","3","2","3","2","6","4","4","6"
"48","2","1","1","2","1","2","2","1","1","2","1","3","2","3","3","2","5","1","4","3","5"
"49","2","1","1","1","2","2","1","2","1","1","3","3","1","3","2","2","6","5","2","4","11"
"50","2","1","2","1","1","2","2","2","3","1","2","3","3","1","3","2","1","2","1","2","7"
"51","1","1","2","2","1","2","1","2","2","2","3","3","3","2","2","3","4","1","1","4","10"
"52","1","2","1","2","2","1","1","1","3","1","2","3","3","1","3","2","4","5","4","5","7"
"53","2","1","2","1","1","1","1","2","1","3","2","3","1","1","2","3","2","4","6","5","8"
"54","1","1","2","1","2","1","2","1","3","2","2","1","1","2","3","2","3","1","6","4","4"
"55","2","1","1","2","2","1","1","2","2","2","2","3","1","3","1","1","3","6","1","2","9"
"56","1","1","1","1","2","2","2","2","3","2","3","3","2","1","1","1","2","2","3","1","12"
"57","1","2","1","2","2","1","1","2","2","3","1","2","2","3","2","1","6","1","6","1","7"
"58","2","2","1","1","1","1","2","2","1","2","2","1","3","3","2","1","4","5","3","6","3"
"59","2","2","1","1","2","1","2","1","2","2","3","3","3","2","2","3","1","4","4","1","10"
"60","2","2","2","1","2","2","1","2","3","1","2","1","2","3","2","3","5","3","1","1","6"
"61","2","1","1","1","2","2","1","1","3","3","2","2","3","2","1","1","2","1","4","6","11"
"62","1","2","2","1","1","2","2","2","3","3","3","1","2","1","2","2","4","1","2","3","9"
"63","1","2","2","2","1","1","2","1","1","1","3","3","1","3","2","2","3","2","5","1","11"
"64","1","2","1","1","1","2","1","1","2","1","3","1","3","3","1","2","5","4","6","2","2"
"65","1","2","2","1","2","1","1","1","3","1","3","2","1","2","2","1","4","6","3","2","5"
"66","1","2","2","1","1","2","2","1","2","2","2","3","1","3","1","1","6","3","4","5","9"
"67","2","2","2","2","1","1","1","1","3","2","3","3","2","1","1","1","5","5","6","4","12"
"68","1","2","1","2","2","2","2","1","2","1","3","1","2","2","3","1","3","5","1","6","8"
"69","1","2","2","2","1","1","2","2","2","2","1","1","2","1","3","3","1","6","3","5","11"
"70","1","2","2","1","2","1","1","2","1","2","1","3","2","3","3","2","2","4","1","6","5"
"71","2","1","2","2","2","1","2","1","1","3","2","3","2","2","3","1","4","3","5","1","2"
"72","1","2","1","1","1","2","1","2","1","3","2","3","2","2","3","1","1","6","2","4","2"
