"","A","B","C","D","E","F","G","H","J"
"1","4","2","1","2","5","1","3","3","11"
"2","5","2","2","4","1","5","1","4","8"
"3","4","3","2","5","4","1","2","1","15"
"4","1","4","5","2","5","4","2","1","12"
"5","1","2","5","1","2","5","3","3","6"
"6","2","4","4","1","3","2","3","1","8"
"7","4","3","4","2","2","5","5","2","13"
"8","4","2","5","5","3","3","4","2","10"
"9","2","2","2","2","2","2","2","2","1"
"10","2","3","5","1","2","3","1","4","5"
"11","1","5","4","2","1","3","4","3","15"
"12","1","1","1","5","4","3","3","4","2"
"13","5","1","4","5","1","4","2","2","6"
"14","3","3","3","3","3","3","3","3","1"
"15","2","5","4","5","3","4","1","1","11"
"16","5","5","5","4","3","2","2","3","2"
"17","5","3","4","1","4","3","1","5","12"
"18","2","3","1","2","3","1","4","4","6"
"19","2","2","2","1","5","4","4","5","2"
"20","1","2","3","3","4","4","1","2","4"
"21","4","5","1","1","2","2","4","5","4"
"22","3","2","4","3","5","3","2","4","14"
"23","3","1","2","4","2","1","4","3","12"
"24","4","2","3","5","3","2","5","4","12"
"25","4","3","5","4","1","4","3","5","14"
"26","3","5","5","2","4","3","4","2","8"
"27","1","3","5","3","5","2","4","1","9"
"28","3","3","3","2","1","5","5","1","2"
"29","1","1","4","3","3","5","4","5","3"
"30","2","3","4","4","5","5","2","3","4"
"31","5","5","5","5","5","5","5","5","1"
"32","3","1","5","1","4","5","2","2","11"
"33","3","1","4","4","2","2","3","1","10"
"34","3","5","4","1","5","1","5","4","7"
"35","1","3","3","5","2","1","2","5","8"
"36","1","4","3","4","2","3","5","5","11"
"37","4","1","3","1","3","5","2","4","9"
"38","2","5","1","3","1","5","3","2","12"
"39","2","4","3","5","4","5","4","3","7"
"40","5","1","2","2","3","3","5","1","4"
"41","2","2","5","4","4","1","5","1","3"
"42","4","4","4","3","2","1","1","2","2"
"43","4","4","2","1","1","3","2","3","3"
"44","3","4","1","2","3","4","2","5","5"
"45","2","5","3","3","1","1","2","5","10"
"46","3","5","2","5","2","4","1","3","9"
"47","4","1","5","2","1","2","1","5","7"
"48","1","3","2","4","3","4","3","2","7"
"49","5","2","4","2","4","1","3","5","9"
"50","3","4","5","5","1","1","3","4","4"
"51","4","1","1","3","5","4","5","3","8"
"52","4","5","3","4","5","3","1","1","6"
"53","3","2","3","1","1","4","4","1","13"
"54","5","4","5","3","3","1","1","3","13"
"55","3","2","1","4","3","5","1","5","15"
"56","5","2","1","3","2","3","2","1","7"
"57","5","4","3","1","5","2","3","2","15"
"58","5","1","3","4","5","1","4","2","5"
"59","2","1","3","2","4","2","1","3","14"
"60","5","3","2","3","1","2","4","4","11"
"61","5","3","1","1","4","4","5","3","10"
"62","3","4","2","3","4","2","5","5","6"
"63","4","5","2","3","4","5","3","1","5"
"64","2","1","5","3","2","4","5","4","15"
"65","3","3","1","5","5","2","1","2","3"
"66","5","5","3","2","2","4","3","4","3"
"67","1","5","1","4","4","2","2","4","13"
"68","5","4","1","5","2","5","4","1","14"
"69","2","4","1","4","1","3","5","2","9"
"70","4","4","4","4","4","4","4","4","1"
"71","2","1","2","5","5","3","3","5","13"
"72","1","2","4","5","1","2","5","3","5"
"73","1","4","2","2","5","5","1","4","10"
"74","1","1","1","1","1","1","1","1","1"
"75","1","5","2","1","3","1","5","2","14"
