"","A","B","C","D","E","F","G","H","J","K","L","M"
"1","4","4","4","4","4","4","4","4","4","4","1","1"
"2","1","2","1","2","3","1","4","3","2","1","2","2"
"3","1","4","4","4","1","1","3","3","4","2","4","5"
"4","4","1","1","1","4","4","2","2","1","3","4","5"
"5","4","3","4","3","4","1","2","2","2","1","2","1"
"6","4","4","3","2","3","1","4","2","4","3","1","3"
"7","4","2","4","1","2","1","2","1","3","2","3","1"
"8","3","3","3","3","3","3","3","3","3","3","1","1"
"9","2","1","4","2","3","4","3","2","4","2","2","3"
"10","4","3","4","3","2","4","1","2","3","4","2","2"
"11","2","2","3","4","2","1","3","2","1","4","1","5"
"12","4","2","1","1","3","2","3","4","4","1","3","5"
"13","4","1","3","2","2","3","3","3","2","4","4","1"
"14","1","1","4","3","1","2","4","1","2","3","1","5"
"15","3","3","4","1","4","2","3","1","3","4","1","3"
"16","3","4","1","3","2","1","2","3","1","3","2","3"
"17","3","2","2","2","3","3","1","1","2","4","4","5"
"18","1","3","4","4","2","3","2","1","1","4","3","5"
"19","2","3","3","1","4","1","3","3","2","3","4","4"
"20","3","2","4","1","2","2","1","3","4","3","4","2"
"21","3","1","4","4","4","1","4","2","2","1","3","3"
"22","1","3","2","1","3","1","1","2","4","4","3","2"
"23","3","2","2","4","1","4","2","2","3","2","4","4"
"24","2","3","3","3","2","2","4","4","3","1","4","5"
"25","4","3","1","3","1","2","4","3","4","2","2","5"
"26","4","4","4","1","3","3","2","3","2","2","1","2"
"27","1","4","2","3","4","4","3","1","2","1","4","2"
"28","1","2","4","2","4","3","1","2","1","3","2","5"
"29","4","1","1","3","2","3","1","1","4","1","4","4"
"30","4","1","2","4","3","4","4","1","3","3","4","3"
"31","2","2","4","3","3","1","1","4","3","3","1","4"
"32","4","2","3","4","2","4","4","3","1","1","3","2"
"33","2","4","1","1","1","4","1","3","3","4","3","3"
"34","3","4","1","1","2","2","4","2","2","4","2","4"
"35","1","2","3","1","4","3","4","1","3","1","2","3"
"36","2","1","2","1","2","3","4","4","4","3","2","1"
"37","4","2","2","4","4","2","1","3","2","3","3","4"
"38","1","4","4","2","3","2","4","4","1","4","4","4"
"39","3","1","1","3","3","1","2","4","1","4","3","4"
"40","3","1","4","3","1","3","3","4","2","2","3","2"
"41","3","4","2","4","2","1","3","4","3","1","2","5"
"42","4","4","2","1","1","3","3","2","1","1","1","4"
"43","3","2","1","3","4","3","3","2","4","4","4","3"
"44","1","1","1","4","2","2","3","2","3","3","1","2"
"45","3","3","1","2","2","4","4","1","2","2","1","4"
"46","2","4","3","3","1","4","1","2","2","3","3","5"
"47","4","2","3","3","3","2","3","1","1","2","3","3"
"48","4","3","2","4","1","2","1","4","2","4","2","3"
"49","3","2","4","1","1","4","4","4","1","3","4","1"
"50","3","4","3","4","3","2","1","1","1","2","2","1"
"51","3","1","3","2","1","2","1","2","4","1","3","1"
"52","3","1","2","2","4","1","4","3","3","2","3","5"
"53","3","3","2","1","3","4","2","3","4","1","1","5"
"54","2","4","2","3","4","3","4","3","1","4","3","1"
"55","2","1","3","1","3","4","2","1","2","4","2","5"
"56","4","4","1","2","4","3","1","4","3","2","1","5"
"57","2","3","1","4","4","1","1","1","4","2","4","1"
"58","2","4","1","2","4","2","2","1","3","3","3","2"
"59","2","2","2","3","1","1","4","1","4","4","1","2"
"60","1","2","1","2","1","4","3","3","3","4","2","1"
"61","2","3","4","2","1","2","2","3","1","1","4","3"
"62","1","1","3","4","4","2","2","3","4","4","1","4"
"63","2","2","1","4","1","3","2","4","2","1","1","3"
"64","1","3","1","4","3","4","3","4","2","3","3","1"
"65","3","4","3","4","1","3","2","1","4","3","2","2"
"66","2","2","2","2","2","2","2","2","2","2","1","1"
"67","1","1","2","3","2","4","1","3","1","2","1","3"
"68","2","4","4","2","2","4","3","1","4","1","3","4"
"69","2","1","4","4","3","3","1","3","3","1","2","4"
"70","3","3","3","2","4","4","1","4","1","1","1","2"
"71","1","3","3","1","1","3","4","2","3","2","3","4"
"72","4","1","3","2","1","1","2","4","3","4","4","2"
"73","2","3","1","4","3","3","4","2","1","2","4","2"
"74","4","3","2","2","1","1","3","1","1","3","2","4"
"75","1","4","3","1","2","1","1","4","2","2","4","3"
"76","1","4","2","3","3","2","2","2","3","1","4","1"
"77","1","1","1","1","1","1","1","1","1","1","1","1"
"78","1","3","2","2","2","3","2","4","4","3","3","3"
"79","2","1","2","1","4","2","3","4","1","2","2","2"
"80","1","2","3","3","4","4","2","4","4","2","2","4"
