"","A","B","C","D","E","F","G","H","J","K"
"1","3","4","8","1","5","9","2","6","7","5"
"2","7","7","7","7","7","7","7","7","7","1"
"3","9","8","7","6","5","4","3","2","1","3"
"4","7","9","8","4","6","5","1","3","2","3"
"5","6","5","4","3","2","1","9","8","7","3"
"6","8","8","8","8","8","8","8","8","8","1"
"7","4","3","8","6","2","7","5","1","9","9"
"8","8","7","9","5","4","6","2","1","3","3"
"9","8","5","2","1","7","4","6","3","9","7"
"10","7","1","4","5","8","2","3","6","9","4"
"11","7","8","9","1","2","3","4","5","6","2"
"12","6","2","7","5","1","9","4","3","8","9"
"13","4","8","3","5","9","1","6","7","2","5"
"14","4","9","2","8","1","6","3","5","7","6"
"15","7","6","2","9","5","1","8","4","3","9"
"16","8","4","3","7","6","2","9","5","1","9"
"17","6","1","8","2","9","4","7","5","3","8"
"18","6","4","5","9","7","8","3","1","2","2"
"19","8","9","7","2","3","1","5","6","4","2"
"20","5","6","4","8","9","7","2","3","1","2"
"21","9","4","2","5","3","7","1","8","6","8"
"22","3","3","3","3","3","3","3","3","3","1"
"23","2","3","1","5","6","4","8","9","7","2"
"24","6","6","6","6","6","6","6","6","6","1"
"25","7","2","6","8","3","4","9","1","5","5"
"26","2","7","6","1","9","5","3","8","4","9"
"27","1","5","9","2","6","7","3","4","8","5"
"28","3","9","6","5","2","8","7","4","1","7"
"29","1","6","8","5","7","3","9","2","4","6"
"30","3","1","2","6","4","5","9","7","8","2"
"31","8","3","4","9","1","5","7","2","6","5"
"32","1","1","1","1","1","1","1","1","1","1"
"33","6","7","2","4","8","3","5","9","1","5"
"34","4","7","1","2","5","8","9","3","6","4"
"35","1","3","2","7","9","8","4","6","5","3"
"36","5","8","2","3","6","9","7","1","4","4"
"37","2","2","2","2","2","2","2","2","2","1"
"38","2","8","5","4","1","7","9","6","3","7"
"39","5","4","6","2","1","3","8","7","9","3"
"40","4","4","4","4","4","4","4","4","4","1"
"41","8","1","6","3","5","7","4","9","2","6"
"42","5","1","9","4","3","8","6","2","7","9"
"43","2","1","3","8","7","9","5","4","6","3"
"44","1","7","4","6","3","9","8","5","2","7"
"45","3","5","7","4","9","2","8","1","6","6"
"46","4","6","5","1","3","2","7","9","8","3"
"47","7","3","5","2","4","9","6","8","1","6"
"48","5","9","1","6","7","2","4","8","3","5"
"49","1","4","7","8","2","5","6","9","3","4"
"50","2","5","8","9","3","6","4","7","1","4"
"51","3","2","1","9","8","7","6","5","4","3"
"52","1","2","3","4","5","6","7","8","9","2"
"53","2","9","4","7","5","3","6","1","8","8"
"54","3","7","5","8","6","1","4","2","9","8"
"55","7","4","1","3","9","6","5","2","8","7"
"56","6","8","1","7","3","5","2","4","9","6"
"57","9","5","1","8","4","3","7","6","2","9"
"58","9","3","6","4","7","1","2","5","8","4"
"59","8","2","5","6","9","3","1","4","7","4"
"60","5","7","3","9","2","4","1","6","8","6"
"61","1","8","6","9","4","2","5","3","7","8"
"62","4","2","9","3","7","5","8","6","1","8"
"63","5","2","8","7","4","1","3","9","6","7"
"64","9","6","3","2","8","5","4","1","7","7"
"65","7","5","3","6","1","8","2","9","4","8"
"66","4","5","6","7","8","9","1","2","3","2"
"67","2","6","7","3","4","8","1","5","9","5"
"68","1","9","5","3","8","4","2","7","6","9"
"69","4","1","7","9","6","3","2","8","5","7"
"70","3","6","9","7","1","4","5","8","2","4"
"71","9","9","9","9","9","9","9","9","9","1"
"72","2","4","9","6","8","1","7","3","5","6"
"73","9","1","5","7","2","6","8","3","4","5"
"74","3","8","4","2","7","6","1","9","5","9"
"75","5","5","5","5","5","5","5","5","5","1"
"76","6","3","9","8","5","2","1","7","4","7"
"77","8","6","1","4","2","9","3","7","5","8"
"78","5","3","7","1","8","6","9","4","2","8"
"79","9","7","8","3","1","2","6","4","5","2"
"80","9","2","4","1","6","8","5","7","3","6"
"81","6","9","3","1","4","7","8","2","5","4"
