"","A","B","C"
"1","2","1","16"
"2","1","2","20"
"3","2","2","15"
"4","1","2","32"
"5","2","2","41"
"6","2","1","2"
"7","2","1","28"
"8","1","2","28"
"9","2","1","20"
"10","2","1","42"
"11","2","2","5"
"12","1","2","34"
"13","2","1","14"
"14","2","1","8"
"15","1","2","40"
"16","1","1","25"
"17","2","2","21"
"18","1","1","23"
"19","1","1","19"
"20","1","2","4"
"21","1","1","13"
"22","1","2","24"
"23","2","2","35"
"24","2","2","27"
"25","2","1","22"
"26","2","2","13"
"27","2","2","17"
"28","1","2","26"
"29","2","1","24"
"30","1","1","41"
"31","2","2","19"
"32","1","1","3"
"33","1","2","2"
"34","2","1","18"
"35","2","2","11"
"36","1","2","14"
"37","2","1","38"
"38","1","1","21"
"39","2","1","36"
"40","1","1","7"
"41","2","2","23"
"42","1","1","17"
"43","1","2","36"
"44","2","2","39"
"45","1","1","39"
"46","2","2","7"
"47","1","2","30"
"48","1","1","15"
"49","1","2","12"
"50","2","2","37"
"51","1","2","16"
"52","2","2","9"
"53","2","1","26"
"54","2","2","33"
"55","1","1","31"
"56","2","1","34"
"57","1","2","10"
"58","1","2","42"
"59","1","2","18"
"60","2","1","6"
"61","2","1","40"
"62","1","2","6"
"63","2","2","3"
"64","2","2","1"
"65","1","1","35"
"66","1","1","11"
"67","1","1","5"
"68","1","1","27"
"69","1","1","1"
"70","1","1","29"
"71","2","2","29"
"72","2","1","4"
"73","1","1","33"
"74","1","2","38"
"75","2","2","25"
"76","1","1","9"
"77","2","2","31"
"78","2","1","10"
"79","1","1","37"
"80","1","2","8"
"81","2","1","32"
"82","2","1","12"
"83","1","2","22"
"84","2","1","30"
