"","name","nruns","lineage"
"1","L4.2.3",4,""
"2","L6.2.1.3.1",6,""
"3","L8.2.7",8,"2~4;4~1;:(4~1!2~3;)"
"4","L8.2.4.4.1",8,""
"5","L9.3.4",9,""
"6","L10.2.1.5.1",10,""
"7","L12.2.11",12,""
"8","L12.2.4.3.1",12,""
"9","L12.2.2.6.1",12,""
"10","L12.3.1.4.1",12,""
"11","L14.2.1.7.1",14,""
"12","L15.3.1.5.1",15,""
"13","L16.2.15",16,"4~5;:(4~1!2~3;)"
"14","L16.2.12.4.1",16,"4~5;:(4~1!2~3;)"
"15","L16.2.9.4.2",16,"4~5;:(4~1!2~3;)"
"16","L16.2.8.8.1",16,""
"17","L16.2.6.4.3",16,"4~5;:(4~1!2~3;)"
"18","L16.2.3.4.4",16,"4~5;:(4~1!2~3;)"
"19","L16.4.5",16,""
"20","L18.2.1.3.7",18,"3~6;6~1;:(6~1!2~1;3~1;)"
"21","L18.2.1.9.1",18,""
"22","L18.3.6.6.1",18,""
"23","L20.2.19",20,""
"24","L20.2.8.5.1",20,""
"25","L20.2.2.10.1",20,""
"26","L20.4.1.5.1",20,""
"27","L21.3.1.7.1",21,""
"28","L22.2.1.11.1",22,""
"29","L24.2.23",24,"2~20;4~1;:(4~1!2~3;)"
"30","L24.2.20.4.1",24,""
"31","L24.2.16.3.1",24,"2~13;3~1;4~1;:(4~1!2~3;)"
"32","L24.2.14.6.1",24,"2~11;4~1;6~1;:(4~1!2~3;)"
"33","L24.2.13.3.1.4.1",24,""
"34","L24.2.12.12.1",24,""
"35","L24.2.11.4.1.6.1",24,""
"36","L24.3.1.8.1",24,""
"37","L25.5.6",25,""
"38","L26.2.1.13.1",26,""
"39","L27.3.13",27,"3~9;9~1;:(9~1!3~4;)"
"40","L27.3.9.9.1",27,""
"41","L28.2.27",28,""
"42","L28.2.12.7.1",28,""
"43","L28.2.2.14.1",28,""
"44","L28.4.1.7.1",28,""
"45","L30.2.1.3.1.5.1",30,"2~1;15~1;:(15~1!3~1;5~1;)"
"46","L30.2.1.15.1",30,""
"47","L30.3.1.10.1",30,""
"48","L30.5.1.6.1",30,""
"49","L32.2.31",32,"4~8;8~1;:(8~1!2~4;4~1;)(4~1!2~3;)"
"50","L32.2.28.4.1",32,"4~8;8~1;:(8~1!2~4;4~1;)(4~1!2~3;)"
"51","L32.2.25.4.2",32,"4~8;8~1;:(8~1!2~4;4~1;)(4~1!2~3;)"
"52","L32.2.24.8.1",32,"4~8;8~1;:(4~1!2~3;)"
"53","L32.2.22.4.3",32,"4~8;8~1;:(8~1!2~4;4~1;)(4~1!2~3;)"
"54","L32.2.21.4.1.8.1",32,"4~8;8~1;:(4~1!2~3;)"
"55","L32.2.19.4.4",32,"4~8;8~1;:(8~1!2~4;4~1;)(4~1!2~3;)"
"56","L32.2.18.4.2.8.1",32,"4~8;8~1;:(4~1!2~3;)"
"57","L32.2.16.4.5",32,"4~8;8~1;:(8~1!2~4;4~1;)(4~1!2~3;)"
"58","L32.2.16.16.1",32,""
"59","L32.2.15.4.3.8.1",32,"4~8;8~1;:(4~1!2~3;)"
"60","L32.2.13.4.6",32,"4~8;8~1;:(8~1!2~4;4~1;)(4~1!2~3;)"
"61","L32.2.12.4.4.8.1",32,"4~8;8~1;:(4~1!2~3;)"
"62","L32.2.10.4.7",32,"4~8;8~1;:(8~1!2~4;4~1;)(4~1!2~3;)"
"63","L32.2.9.4.5.8.1",32,"4~8;8~1;:(4~1!2~3;)"
"64","L32.2.7.4.8",32,"4~8;8~1;:(8~1!2~4;4~1;)(4~1!2~3;)"
"65","L32.2.6.4.6.8.1",32,"4~8;8~1;:(4~1!2~3;)"
"66","L32.2.4.4.9",32,"4~8;8~1;:(8~1!2~4;4~1;)"
"67","L32.2.3.4.7.8.1",32,"4~8;8~1;:(4~1!2~3;)"
"68","L32.4.8.8.1",32,""
"69","L33.3.1.11.1",33,""
"70","L34.2.1.17.1",34,""
"71","L35.5.1.7.1",35,""
"72","L36.2.35",36,""
"73","L36.2.27.3.1",36,""
"74","L36.2.20.3.2",36,""
"75","L36.2.18.3.1.6.1",36,""
"76","L36.2.16.3.4",36,"2~16;9~1;:(9~1!3~4;)"
"77","L36.2.16.9.1",36,""
"78","L36.2.13.3.2.6.1",36,""
"79","L36.2.13.6.2",36,""
"80","L36.2.11.3.12",36,"3~12;12~1;:(12~1!2~11;)"
"81","L36.2.10.3.8.6.1",36,""
"82","L36.2.10.3.1.6.2",36,""
"83","L36.2.9.3.4.6.2",36,""
"84","L36.2.8.6.3",36,""
"85","L36.2.4.3.13",36,"3~12;12~1;:(12~1!2~4;3~1;)"
"86","L36.2.4.3.1.6.3",36,""
"87","L36.2.3.3.9.6.1",36,""
"88","L36.2.3.3.2.6.3",36,""
"89","L36.2.2.3.12.6.1",36,"3~12;12~1;:(12~1!2~2;6~1;)"
"90","L36.2.2.3.5.6.2",36,""
"91","L36.2.2.18.1",36,""
"92","L36.2.1.3.8.6.2",36,"3~7;6~3;:(6~1!2~1;3~1;)"
"93","L36.2.1.3.3.6.3",36,""
"94","L36.3.13.4.1",36,"3~12;12~1;:(12~1!3~1;4~1;)"
"95","L36.3.12.12.1",36,""
"96","L36.3.7.6.3",36,""
"97","L36.4.1.9.1",36,""
"98","L38.2.1.19.1",38,""
"99","L39.3.1.13.1",39,""
"100","L40.2.39",40,"2~36;4~1;:(4~1!2~3;)"
"101","L40.2.36.4.1",40,""
"102","L40.2.28.5.1",40,"2~25;4~1;5~1;:(4~1!2~3;)"
"103","L40.2.25.4.1.5.1",40,""
"104","L40.2.22.10.1",40,"2~19;4~1;10~1;:(4~1!2~3;)"
"105","L40.2.20.20.1",40,""
"106","L40.2.19.4.1.10.1",40,""
"107","L40.5.1.8.1",40,""
"108","L42.2.1.3.1.7.1",42,"6~1;7~1;:(6~1!2~1;3~1;)"
"109","L42.2.1.21.1",42,""
"110","L42.3.1.14.1",42,""
"111","L42.6.1.7.1",42,""
"112","L44.2.43",44,""
"113","L44.2.15.11.1",44,""
"114","L44.2.2.22.1",44,""
"115","L44.4.1.11.1",44,""
"116","L45.3.10.5.1",45,"3~9;15~1;:(15~1!3~1;5~1;)"
"117","L45.3.9.15.1",45,""
"118","L45.5.1.9.1",45,""
"119","L46.2.1.23.1",46,""
"120","L48.2.47",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"121","L48.2.44.4.1",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"122","L48.2.41.4.2",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"123","L48.2.40.3.1",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"124","L48.2.40.8.1",48,""
"125","L48.2.38.4.3",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"126","L48.2.38.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
"127","L48.2.37.3.1.4.1",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"128","L48.2.36.12.1",48,"4~12;12~1;:(4~1!2~3;)"
"129","L48.2.35.4.4",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"130","L48.2.35.4.1.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
"131","L48.2.34.3.1.4.2",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"132","L48.2.33.3.1.8.1",48,""
"133","L48.2.33.4.1.12.1",48,"4~12;12~1;:(4~1!2~3;)"
"134","L48.2.32.4.5",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"135","L48.2.32.4.2.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
"136","L48.2.31.3.1.4.3",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"137","L48.2.31.6.1.8.1",48,""
"138","L48.2.30.4.2.12.1",48,"4~12;12~1;:(4~1!2~3;)"
"139","L48.2.29.4.6",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"140","L48.2.29.4.3.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
"141","L48.2.28.3.1.4.4",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"142","L48.2.27.4.3.12.1",48,"4~12;12~1;:(4~1!2~3;)"
"143","L48.2.26.4.7",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"144","L48.2.26.4.4.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
"145","L48.2.25.3.1.4.5",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"146","L48.2.24.4.4.12.1",48,"4~12;12~1;:(4~1!2~3;)"
"147","L48.2.24.24.1",48,""
"148","L48.2.23.4.8",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"149","L48.2.23.4.5.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
"150","L48.2.22.3.1.4.6",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"151","L48.2.21.4.5.12.1",48,"4~12;12~1;:(4~1!2~3;)"
"152","L48.2.20.4.9",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"153","L48.2.20.4.6.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
"154","L48.2.19.3.1.4.7",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"155","L48.2.18.4.6.12.1",48,"4~12;12~1;:(4~1!2~3;)"
"156","L48.2.17.4.10",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"157","L48.2.17.4.7.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
"158","L48.2.16.3.1.4.8",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"159","L48.2.15.4.7.12.1",48,"4~12;12~1;:(4~1!2~3;)"
"160","L48.2.14.4.11",48,"4~12;12~1;:(12~1!2~11;)(4~1!2~3;)"
"161","L48.2.14.4.8.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
"162","L48.2.13.3.1.4.9",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"163","L48.2.12.4.8.12.1",48,"4~12;12~1;:(4~1!2~3;)"
"164","L48.2.11.4.12",48,"4~12;12~1;:(12~1!2~11;)"
"165","L48.2.11.4.9.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
"166","L48.2.10.3.1.4.10",48,"4~12;12~1;:(12~1!2~4;3~1;)(4~1!2~3;)"
"167","L48.2.9.4.9.12.1",48,"4~12;12~1;:(4~1!2~3;)"
"168","L48.2.8.4.10.6.1",48,"4~12;12~1;:(12~1!2~2;6~1;)(4~1!2~3;)"
